Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
115.980023   259.540786
115.990023   249.327731
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
116.120023   245.852423
116.130023   234.877991
116.140023   232.700005
116.150023   228.523442
116.160023   226.840948
116.170023   226.207694
116.180023   225.634737
116.190023   224.998141
116.200023   224.409987
116.210023   222.701988
116.220023   221.194698
116.230023   218.157847
116.240023   238.118126
116.250023   240.889207
116.260023   237.560840
116.270023   236.151311
116.280023   234.213021
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
116.430023   226.512383
116.440023   219.344297
116.450023   217.183926
116.460023   215.803525
116.470023   226.297971
116.480023   219.744336
116.490023   214.821018
116.500023   197.208207
116.510023   215.670153
116.520023   212.393093
116.530023   209.066527
116.540023   211.296415
116.550023   214.298546
116.560023   215.592134
116.570023   216.672157
116.580023   219.581363
116.590023   225.492759
116.600023   233.002597
116.610023   242.752082
116.620023   250.214461
116.630023   255.983468
116.640023   264.242509
116.650023   270.657018
116.660023   273.514005
116.670023   274.308988
116.680023   278.021361
116.690023   278.070332
116.700023   273.435440
116.710023   271.763349
116.720023   277.893622
116.730023   279.308242
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
116.770023   305.381922
116.780023   294.336481
116.790023   294.227794
116.800023   293.840695
116.810023   292.856924
116.820023   291.689813
116.830023   289.280177
116.840023   286.433466
116.850023   283.936038
116.860023   281.444040
116.870023   280.718101
116.880023   279.358017
116.890023   270.531391
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
116.940023   273.630441
116.950023   273.382084
116.960023   274.112878
116.970023   274.256685
116.980023   274.315569
116.990023   273.634499
117.000023   272.674242
117.010023   270.900306
117.020023   270.138775
117.030023   269.958505
117.040023   269.996313
117.050023   269.731634
117.060023   269.524052
117.070023   269.027251
117.080023   268.219790
117.090023   267.109428
117.100023   265.921571
117.110023   265.168276
117.120023   264.749646
117.130023   263.696588
117.140023   262.102978
117.150023   260.009207
117.160023   253.994970
117.170023   251.208470
117.180023   253.076908
117.190023   250.814981
117.200023   246.917366
117.210023   241.970890
117.220023   237.049215
117.230023   227.566415
117.240023   223.886445
117.250023   222.512023
117.260023   218.938578
117.270023   218.893387
117.280023   217.083068
117.290023   215.891596
117.300023   216.604674
117.310023   217.069939
117.320023   219.960767
117.330023   217.510784
117.340023   215.951647
117.350023   215.328291
117.360023   215.048422
117.370023   214.610639
117.380023   214.740307
117.390023   214.513499
117.400023   214.639413
117.410023   215.425000
117.420023   216.736305
117.430023   217.874454
117.440023   218.739396
117.450023   219.787148
117.460023   221.359996
117.470023   222.809489
117.480023   223.912506
117.490023   225.497222
117.500023   226.998643
117.510023   227.625748
117.520023   227.196245
117.530023   226.758906
117.540023   226.865079
117.550023   227.225899
117.560023   227.842937
117.570023   228.568143
117.580023   228.382409
117.590023   228.474250
117.600023   228.258916
117.610023   228.202004
117.620023   228.062023
117.630023   227.535119
117.640023   226.873956
117.650023   225.753688
117.660023   224.263074
117.670023   223.034083
117.680023   221.833258
117.690023   221.646989
117.700023   221.693960
117.710023   222.182896
117.720023   223.081057
117.730023   224.386208
117.740023   225.178976
117.750023   223.745697
117.760023   220.811826
117.770023   222.305525
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
