Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
34.210000   211.688968
34.220000   207.953212
34.230000   204.501679
34.240000   201.000053
34.250000   199.838285
34.260000   199.117011
34.270000   198.575133
34.280000   198.192456
34.290000   198.103443
34.300000   197.587483
34.310000   197.206181
34.320000   196.688869
34.330000   195.774720
34.340000   195.270782
34.350000   194.820261
34.360000   195.015378
34.370000   194.937703
34.380000   194.950239
34.390000   194.894914
34.400000   195.087300
34.410000   195.254150
34.420000   194.938141
34.430000   194.575203
34.440000   194.243346
34.450000   194.029618
34.460000   194.307344
34.470000   193.681497
34.480000   192.534342
34.490000   191.582762
34.500000   190.516796
34.510000   189.418374
34.520000   189.061587
34.530000   189.614172
34.540000   190.226579
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
34.620000   216.045404
34.630000   209.406491
34.640000   202.594793
34.650000   200.110407
34.660000   199.883859
34.670000   198.666190
34.680000   199.154921
34.690000   200.355868
34.700000   201.344501
34.710000   206.066562
34.720000   209.294689
34.730000   214.355638
34.740000   220.097856
34.750000   229.500436
34.760000   243.084924
34.770000   253.817290
34.780000   263.704540
34.790000   269.721442
34.800000   277.188261
34.810000   281.768030
34.820000   281.871250
34.830000   279.641701
34.840000   278.521598
34.850000   275.873698
34.860000   272.745573
34.870000   279.031494
34.880000   275.008340
34.890000   270.166664
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
34.930000   278.652892
34.940000   267.922003
34.950000   256.513890
34.960000   246.776668
34.970000   243.446654
34.980000   243.300354
34.990000   235.009747
35.000000   231.999928
35.010000   228.553991
35.020000   226.172611
35.030000   223.869421
35.040000   221.716865
35.050000   220.103231
35.060000   218.095225
35.070000   216.053029
35.080000   214.795613
35.090000   213.117056
35.100000   210.857851
35.110000   209.718945
35.120000   208.354424
35.130000   206.839863
35.140000   205.341413
35.150000   203.218830
35.160000   202.847419
35.170000   202.249979
35.180000   200.250311
35.190000   200.098300
35.200000   200.786126
35.210000   201.265727
35.220000   201.128731
35.230000   199.833790
35.240000   198.178002
35.250000   197.612008
35.260000   197.458566
35.270000   197.207387
35.280000   196.760459
35.290000   197.099167
35.300000   197.917523
35.310000   200.220433
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
