Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
333.110091   126.153681
333.120091   122.630991
333.130091   121.476676
333.140091   119.098082
333.150091   117.919575
333.160091   117.040595
333.170091   115.663187
333.180091   115.644479
333.190091   114.922294
--undefined--   --undefined--
333.210091   114.986458
333.220091   115.790051
333.230091   115.515235
333.240091   114.295431
333.250091   108.761431
333.260091   116.465800
333.270091   117.781282
333.280091   117.049065
333.290091   117.041449
333.300091   116.470186
333.310091   115.155516
333.320091   114.410049
333.330091   114.144461
333.340091   114.099793
333.350091   112.762979
333.360091   110.925166
333.370091   110.644531
333.380091   111.834776
333.390091   113.649772
333.400091   113.184953
333.410091   112.580126
333.420091   111.033340
333.430091   110.993963
333.440091   112.530101
333.450091   112.726405
333.460091   109.566105
333.470091   107.042636
333.480091   104.119615
333.490091   100.841366
333.500091   101.477506
333.510091   100.622830
333.520091   101.017849
333.530091   100.037628
333.540091   101.261754
333.550091   99.579930
333.560091   104.955231
--undefined--   --undefined--
--undefined--   --undefined--
333.590091   386.693270
333.600091   400.947187
333.610091   400.193370
333.620091   401.717968
333.630091   405.864309
333.640091   396.675650
333.650091   399.483657
333.660091   399.934020
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
