Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
28.040000   131.706168
28.050000   123.085598
28.060000   118.849739
28.070000   107.746553
28.080000   108.654637
28.090000   108.702517
28.100000   109.044885
28.110000   109.218336
28.120000   105.078490
28.130000   104.444538
28.140000   103.954107
28.150000   103.202804
28.160000   101.851829
28.170000   101.288470
28.180000   101.024088
28.190000   100.394222
28.200000   100.426042
28.210000   99.973883
28.220000   99.428316
28.230000   98.855380
28.240000   98.656286
28.250000   98.594058
28.260000   98.662481
28.270000   98.016721
28.280000   97.980821
28.290000   97.189454
28.300000   96.887255
28.310000   96.455865
28.320000   96.243128
28.330000   96.751729
28.340000   95.305319
28.350000   98.542937
28.360000   98.342753
28.370000   99.146507
28.380000   99.223583
28.390000   100.020338
28.400000   100.511755
28.410000   101.196317
28.420000   101.224888
28.430000   101.339600
28.440000   100.887878
28.450000   100.295821
28.460000   100.313246
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
28.560000   101.461679
28.570000   105.292338
28.580000   103.700772
28.590000   103.575435
28.600000   104.128387
28.610000   104.272269
28.620000   104.036204
28.630000   102.668968
28.640000   102.937873
28.650000   102.037883
28.660000   101.412190
28.670000   100.811260
28.680000   99.974375
28.690000   99.390447
28.700000   97.531577
28.710000   95.076960
28.720000   95.441182
28.730000   95.539005
28.740000   97.707465
28.750000   98.168928
28.760000   96.371793
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
28.810000   96.910655
28.820000   96.943902
28.830000   96.603403
28.840000   96.032690
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
