Time_s   F0_Hz
0.024687   208.993648
0.034687   201.468609
0.044687   200.243398
0.054687   199.781322
0.064687   196.688538
0.074687   196.342462
0.084687   196.325226
0.094687   196.573238
0.104687   196.454142
0.114687   193.543438
0.124687   195.690748
0.134687   195.242524
0.144687   194.363591
0.154687   197.956605
0.164687   197.763992
0.174687   195.631513
0.184687   196.778729
0.194687   197.386010
0.204687   198.562666
0.214687   199.762855
0.224687   201.574433
0.234687   204.293404
0.244687   206.056687
0.254687   205.055899
0.264687   205.870036
0.274687   207.797476
0.284687   208.773727
0.294687   210.828866
0.304687   213.175243
0.314687   216.223795
0.324687   218.976106
0.334687   220.826129
0.344687   221.822955
0.354687   224.627775
0.364687   229.278312
0.374687   233.316287
0.384687   235.999473
0.394687   237.484303
0.404687   236.967975
0.414687   234.879626
0.424687   232.321183
0.434687   228.851057
0.444687   224.769127
0.454687   220.977125
0.464687   217.233955
0.474687   215.573702
0.484687   216.034034
0.494687   212.774195
0.504687   209.770182
0.514687   207.224125
0.524687   204.585633
0.534687   201.666920
0.544687   199.583060
0.554687   197.967640
0.564687   197.598922
0.574687   197.687520
0.584687   197.655556
0.594687   197.345988
0.604687   196.308645
0.614687   195.929916
0.624687   195.872492
0.634687   196.534396
0.644687   196.750827
0.654687   194.893090
0.664687   192.232098
0.674687   188.073456
0.684687   190.304446
0.694687   191.144849
0.704687   199.912408
0.714687   203.366621
0.724687   209.629345
0.734687   211.181309
0.744687   208.787582
0.754687   206.079648
0.764687   203.279060
0.774687   200.982299
0.784687   200.330050
0.794687   194.616160
0.804687   181.509907
0.814687   193.225535
0.824687   204.929716
0.834687   212.119636
0.844687   206.569438
0.854687   98.407177
0.864687   97.966073
0.874687   98.474531
0.884687   99.963054
0.894687   99.637950
0.904687   94.917326
0.914687   188.289073
0.924687   186.874528
0.934687   185.399767
0.944687   184.882449
0.954687   186.167720
0.964687   193.280827
0.974687   194.808736
0.984687   200.617255
0.994687   207.818035
1.004687   211.843071
1.014687   215.311031
1.024687   216.961414
1.034687   219.163957
1.044687   219.503891
1.054687   219.614079
1.064687   211.699313
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.154687   468.063998
--undefined--   --undefined--
1.174687   240.220782
1.184687   216.257347
1.194687   209.373328
1.204687   207.002678
1.214687   210.860119
1.224687   219.050861
1.234687   220.406301
1.244687   101.655181
1.254687   101.292357
1.264687   101.165278
1.274687   101.030555
1.284687   101.557582
1.294687   102.806714
1.304687   208.805327
1.314687   211.515949
1.324687   213.611565
1.334687   216.073587
1.344687   218.708152
1.354687   220.982851
1.364687   218.130381
1.374687   209.933242
1.384687   212.545363
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.544687   245.593769
1.554687   225.346644
1.564687   210.815179
1.574687   206.590685
1.584687   103.453897
1.594687   104.910820
1.604687   103.915483
--undefined--   --undefined--
1.624687   214.439567
1.634687   211.631711
1.644687   211.894048
1.654687   211.841759
1.664687   211.890367
1.674687   214.086170
1.684687   217.205936
1.694687   220.599129
1.704687   224.410880
1.714687   229.395862
1.724687   234.522569
1.734687   238.290027
1.744687   239.666668
1.754687   239.569135
1.764687   236.062458
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.824687   483.598603
1.834687   473.225290
1.844687   466.335237
1.854687   468.412940
1.864687   471.056571
1.874687   471.355241
1.884687   467.812306
1.894687   464.435837
--undefined--   --undefined--
1.914687   234.605040
1.924687   231.800986
1.934687   218.992498
1.944687   212.456602
1.954687   208.337563
1.964687   205.198749
1.974687   201.428592
1.984687   199.329242
1.994687   197.493513
2.004687   195.621343
2.014687   193.742202
2.024687   193.364255
2.034687   193.084821
2.044687   192.191792
2.054688   192.951072
2.064687   193.398678
2.074687   193.063986
2.084687   193.222921
2.094687   194.944151
2.104687   195.091731
2.114687   196.535087
2.124687   196.606122
--undefined--   --undefined--
2.144687   490.184507
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
2.194687   464.659936
2.204687   454.003523
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
2.294687   387.570745
2.304688   390.673396
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
2.394687   105.783430
2.404687   101.146828
2.414687   101.530002
2.424687   103.340486
2.434687   102.511299
2.444687   104.068643
2.454687   209.545607
2.464687   209.419448
2.474687   214.460466
2.484687   216.983257
2.494687   214.215350
2.504687   209.045812
2.514687   205.901822
2.524687   209.254870
2.534687   209.816405
2.544687   209.429672
2.554688   208.084964
2.564687   206.592316
2.574688   205.419762
2.584687   205.216548
2.594687   204.341530
2.604687   202.992275
2.614687   201.581257
2.624687   202.211498
2.634687   202.109018
2.644687   198.315862
2.654687   196.120196
2.664687   193.850231
2.674687   189.712059
2.684687   194.952552
2.694687   197.204760
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
2.914687   207.275627
2.924687   209.808929
2.934687   214.026843
2.944687   214.738162
2.954687   213.339294
2.964687   214.462164
2.974687   216.229304
2.984687   217.401829
2.994687   220.708054
3.004687   231.344248
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
3.104687   452.604675
3.114687   451.984063
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
3.164687   224.569941
3.174687   216.799175
3.184687   205.109267
3.194687   196.484364
3.204687   194.439808
3.214687   194.031347
3.224687   194.084546
3.234687   195.415985
3.244687   197.833982
3.254687   198.832211
3.264687   196.810431
3.274687   193.217636
3.284687   190.659074
3.294687   190.803477
3.304688   190.639362
3.314687   189.792478
3.324688   189.773585
3.334687   189.402607
3.344688   189.454797
3.354687   189.601787
3.364687   189.895221
3.374687   188.764202
3.384687   189.665058
3.394687   190.307223
3.404687   188.435264
3.414687   185.949189
3.424687   186.308349
3.434687   186.418085
3.444687   183.279413
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
3.494687   194.942057
3.504687   192.732131
3.514687   194.872180
3.524687   189.930681
3.534687   184.081309
3.544687   196.226105
3.554688   205.403485
3.564687   200.725965
3.574688   200.567237
--undefined--   --undefined--
--undefined--   --undefined--
3.604687   102.694899
3.614687   103.862035
3.624687   105.336401
3.634687   106.505146
3.644687   106.660425
3.654687   106.434263
3.664687   105.584139
3.674687   104.807006
3.684687   210.125749
3.694687   211.252872
3.704687   212.608813
3.714687   209.011173
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
3.854687   492.144272
3.864687   488.983102
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
3.974687   233.869805
3.984687   234.591382
--undefined--   --undefined--
4.004688   101.224382
4.014687   101.004316
4.024687   98.255361
4.034687   97.069862
4.044688   95.798054
4.054688   190.031477
4.064687   186.715806
4.074687   184.597799
4.084688   183.168970
4.094688   181.741043
4.104687   183.105717
