Time_s   F0_Hz
0.021000   494.266488
--undefined--   --undefined--
--undefined--   --undefined--
0.051000   190.867066
0.061000   186.855061
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.101000   184.477052
0.111000   185.636128
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.291000   218.649266
0.301000   203.555103
0.311000   196.055608
0.321000   194.836719
0.331000   194.394965
0.341000   193.580263
0.351000   192.030649
0.361000   191.422080
0.371000   190.333954
0.381000   190.153579
0.391000   191.122773
0.401000   191.341329
0.411000   191.567213
0.421000   192.638863
0.431000   193.269543
0.441000   195.013134
0.451000   196.748165
0.461000   197.019385
0.471000   196.327729
0.481000   195.193447
0.491000   191.914968
0.501000   186.908710
0.511000   186.576612
0.521000   180.368972
0.531000   179.846574
0.541000   188.956533
0.551000   187.389730
0.561000   187.529049
0.571000   196.182410
0.581000   194.559223
0.591000   196.376871
0.601000   197.341457
0.611000   197.177586
0.621000   196.419159
0.631000   194.287266
0.641000   192.666167
0.651000   191.933171
0.661000   191.430975
0.671000   189.241624
0.681000   187.777362
0.691000   186.542509
0.701000   185.359574
0.711000   185.392360
0.721000   185.027272
0.731000   184.784205
0.741000   184.246195
0.751000   182.530392
0.761000   181.784409
0.771000   170.964246
0.781000   181.176041
0.791000   255.291317
0.801000   252.877983
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.101000   471.188162
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.191000   189.756256
1.201000   185.875421
1.211000   184.045678
1.221000   185.234228
1.231000   188.320358
1.241000   189.552239
1.251000   191.203448
1.261000   192.370571
1.271000   192.066165
1.281000   186.809819
1.291000   180.276375
1.301000   176.977814
1.311000   176.616157
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.361000   174.519977
1.371000   175.683152
1.381000   181.832537
1.391000   188.715726
1.401000   190.413987
1.411000   189.971000
1.421000   187.767884
1.431000   186.666955
1.441000   183.462752
1.451000   179.973828
1.461000   177.279414
1.471000   175.095875
1.481000   174.779048
1.491000   175.535132
1.501000   174.273873
1.511000   174.110648
--undefined--   --undefined--
1.531000   277.744386
1.541000   289.002402
1.551000   311.288788
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.611000   350.878149
1.621000   343.188223
--undefined--   --undefined--
--undefined--   --undefined--
