Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
0.042583   246.560473
0.052583   245.996676
0.062583   241.931489
0.072583   248.064550
0.082583   248.785804
0.092583   237.113804
0.102583   232.635229
0.112583   228.019940
0.122583   223.363055
0.132583   219.967485
0.142583   216.581081
0.152583   214.137902
0.162583   212.894740
0.172583   212.318781
0.182583   211.684975
0.192583   209.973839
0.202583   206.560060
0.212583   202.065045
0.222583   202.563957
0.232583   205.565522
0.242583   209.984250
0.252583   211.693625
0.262583   215.328431
0.272583   209.291576
0.282583   213.200978
0.292583   214.010883
0.302583   215.805026
0.312583   213.605173
0.322583   209.578678
0.332583   208.593402
0.342583   209.701029
0.352583   223.138271
0.362583   295.777595
0.372583   272.693603
0.382583   272.720262
0.392583   284.321055
0.402583   281.259092
0.412583   230.906548
0.422583   227.215392
0.432583   227.299552
0.442583   224.943864
0.452583   221.951102
0.462583   220.120509
0.472583   219.968088
0.482583   218.607879
0.492583   218.132029
0.502583   217.999499
0.512583   216.843413
0.522583   218.081250
0.532583   224.154057
0.542583   228.532294
0.552583   230.656876
0.562583   229.782771
0.572583   226.485383
0.582583   225.693938
0.592583   227.524952
0.602583   223.276936
0.612583   234.910285
0.622583   237.035951
0.632583   236.945064
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.702583   265.941708
0.712583   255.470309
0.722583   245.097604
0.732583   238.988155
0.742583   233.118866
0.752583   224.650404
0.762583   223.432452
0.772583   223.005643
0.782583   228.439075
0.792583   234.556328
0.802583   240.167964
0.812583   246.578556
0.822583   250.758613
0.832583   254.877851
0.842583   258.060934
0.852583   255.962360
0.862583   248.083273
0.872583   251.617275
0.882583   255.210590
0.892583   255.401635
0.902583   257.404084
0.912583   251.141601
0.922583   251.918844
0.932583   253.897714
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.992583   248.650247
1.002583   239.129465
1.012583   229.131326
1.022583   220.483497
1.032583   216.772732
1.042583   215.511388
1.052583   215.041644
1.062583   212.571713
1.072583   210.559792
1.082583   210.359879
1.092583   210.850599
1.102583   207.301608
1.112583   206.350993
1.122583   205.793312
1.132583   205.208447
1.142583   204.246789
1.152583   200.164084
1.162583   195.539044
1.172583   201.565795
1.182583   203.798361
1.192583   203.832544
1.202583   206.484980
1.212583   207.839835
1.222583   211.602419
--undefined--   --undefined--
--undefined--   --undefined--
1.252583   236.802488
1.262583   227.548207
1.272583   212.937141
1.282583   219.402498
1.292583   222.029800
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.592583   106.975516
1.602583   106.438041
1.612583   106.048538
1.622583   104.737976
1.632583   104.496160
1.642583   103.745042
1.652583   102.991429
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.782583   287.291955
1.792583   277.341333
1.802583   256.561661
1.812583   366.904974
1.822583   373.967536
--undefined--   --undefined--
1.842583   303.942058
1.852583   361.001764
1.862583   362.218311
1.872583   335.011391
1.882583   318.122013
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.932583   336.846339
1.942583   367.023752
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
2.032583   398.260064
2.042583   397.788979
