Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1084.310272   195.463833
1084.320272   196.357958
1084.330272   196.008369
1084.340272   194.504457
1084.350272   196.632777
1084.360272   198.654339
1084.370272   199.188667
1084.380272   199.026953
1084.390272   197.972422
1084.400272   196.009784
1084.410272   194.502585
1084.420272   191.970627
1084.430272   188.863709
1084.440272   189.556891
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1084.560272   241.714873
1084.570272   246.999559
1084.580272   251.758331
1084.590272   255.250716
1084.600272   258.893675
1084.610272   262.204933
1084.620272   264.066586
1084.630272   263.843615
1084.640272   261.568250
1084.650272   258.228235
1084.660272   251.649073
1084.670272   251.652448
1084.680272   269.193591
1084.690272   275.960624
1084.700272   275.395047
1084.710272   273.115320
1084.720272   264.932906
1084.730272   263.359352
1084.740272   263.652202
1084.750272   262.578435
1084.760272   276.458979
1084.770272   282.919327
1084.780272   296.907347
1084.790272   305.041455
1084.800272   308.235893
1084.810272   310.869210
1084.820272   312.746942
1084.830272   312.648694
1084.840272   311.160320
1084.850272   308.928872
1084.860272   305.832306
1084.870272   303.352946
1084.880272   305.253550
1084.890272   308.368293
1084.900272   306.216173
1084.910272   308.608006
1084.920272   308.500837
1084.930272   306.248146
1084.940272   306.845661
1084.950272   307.094102
1084.960272   301.952798
1084.970272   286.937403
1084.980272   274.783874
1084.990272   268.628645
1085.000272   262.949743
1085.010272   256.987635
1085.020272   247.037945
1085.030272   233.266176
1085.040272   233.915278
1085.050272   228.487144
1085.060272   234.171527
1085.070272   234.704586
1085.080272   228.299429
1085.090272   232.002318
1085.100272   235.853810
1085.110272   239.473294
1085.120272   239.696016
1085.130272   239.086017
1085.140272   238.935539
1085.150272   238.071632
1085.160272   234.590725
1085.170272   229.358518
1085.180272   227.140176
1085.190272   225.024950
1085.200272   223.759030
1085.210272   221.514486
1085.220272   218.610145
1085.230272   214.818179
1085.240272   214.681113
1085.250272   210.222599
1085.260272   205.482393
1085.270272   201.193465
1085.280272   198.056066
1085.290272   193.879568
1085.300272   190.714036
1085.310272   188.882696
1085.320272   187.705936
1085.330272   186.321364
1085.340272   187.301392
1085.350272   189.297803
1085.360272   164.086994
1085.370272   169.110095
1085.380272   189.682916
1085.390272   193.743505
1085.400272   193.959653
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1085.460272   199.951718
1085.470272   190.603492
1085.480272   181.459859
1085.490272   172.817746
1085.500272   168.261236
1085.510272   168.746051
1085.520272   173.992730
1085.530272   174.605699
1085.540272   174.847256
1085.550272   174.452963
1085.560272   173.378541
1085.570272   172.817112
1085.580272   171.901694
1085.590272   170.473712
1085.600272   169.005144
1085.610272   168.392587
1085.620272   167.452425
1085.630272   167.463151
1085.640272   166.411376
1085.650272   166.260928
1085.660272   163.952006
1085.670272   162.441847
1085.680272   160.781322
1085.690272   159.871639
1085.700272   159.044564
1085.710272   157.454606
1085.720272   156.904800
1085.730272   159.305753
1085.740272   158.275772
1085.750272   160.313080
1085.760272   161.951644
1085.770272   161.365314
1085.780272   161.037380
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
