Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
291.525034   187.007850
291.535034   172.631311
291.545034   178.408362
291.555034   181.251460
291.565034   183.645440
291.575034   187.802310
291.585034   185.699939
291.595034   183.970508
291.605034   182.724788
291.615034   181.784709
291.625034   181.122920
291.635034   180.326401
291.645034   179.591532
291.655034   178.558358
291.665034   178.100084
291.675034   177.853940
291.685034   177.378121
291.695034   177.008904
291.705034   177.033195
291.715034   176.733014
291.725034   175.621537
291.735034   175.602080
291.745034   177.095208
291.755034   178.041356
291.765034   177.855332
291.775034   174.930471
--undefined--   --undefined--
291.795034   440.942506
291.805034   447.474331
291.815034   426.152360
291.825034   397.659790
291.835034   433.911357
291.845034   440.031832
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
291.945034   177.296941
291.955034   178.610040
291.965034   178.695603
291.975034   177.563778
291.985034   177.342788
291.995034   177.755417
292.005034   178.111168
292.015034   179.440961
292.025034   181.153939
292.035034   182.463973
292.045034   182.171731
292.055034   181.138668
292.065034   179.481830
292.075034   177.977940
292.085034   176.588656
292.095034   175.187842
292.105034   172.631032
292.115034   169.632071
292.125034   167.862860
292.135034   166.379690
292.145034   164.430459
292.155034   161.182079
292.165034   159.683595
292.175034   158.569364
292.185034   157.463589
292.195034   158.287489
292.205034   156.852435
292.215034   150.913362
292.225034   149.945790
292.235034   152.216678
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
292.405034   206.550371
292.415034   197.224916
292.425034   194.490420
292.435034   195.269402
292.445034   195.856483
292.455034   194.866433
292.465034   193.778508
292.475034   192.558671
292.485034   191.382080
292.495034   190.609914
292.505034   189.666856
292.515034   188.472627
