Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
108.820000   164.356568
108.830000   162.021249
108.840000   161.079319
108.850000   160.599916
108.860000   159.368361
108.870000   157.984778
108.880000   157.325908
108.890000   156.465586
108.900000   155.877998
108.910000   155.261285
108.920000   154.771261
108.930000   154.850431
108.940000   154.554665
108.950000   154.374737
108.960000   154.554630
108.970000   154.574884
108.980000   153.389185
108.990000   152.815494
109.000000   152.365282
109.010000   152.525623
109.020000   151.715414
109.030000   152.664967
109.040000   152.750094
109.050000   152.589972
109.060000   151.205626
109.070000   150.287686
109.080000   149.813013
109.090000   150.004908
109.100000   149.822948
109.110000   149.587277
109.120000   149.908405
109.130000   151.741066
109.140000   152.974303
109.150000   156.763980
109.160000   162.401286
109.170000   171.527282
109.180000   183.072944
109.190000   191.974180
109.200000   201.311141
109.210000   211.262178
109.220000   220.182813
109.230000   225.181805
109.240000   225.229397
109.250000   227.212992
109.260000   227.597229
109.270000   224.261168
109.280000   218.461934
109.290000   211.488761
109.300000   203.198855
109.310000   189.542320
109.320000   178.346502
109.330000   174.724488
109.340000   160.711978
109.350000   160.051431
109.360000   161.310774
109.370000   173.868099
109.380000   186.181636
109.390000   194.951013
109.400000   206.545295
109.410000   216.143079
109.420000   219.579707
109.430000   212.593712
109.440000   202.890185
109.450000   199.083143
109.460000   198.534031
109.470000   198.707141
109.480000   203.031505
109.490000   222.296704
109.500000   231.578775
109.510000   234.141512
109.520000   233.873726
109.530000   229.573573
109.540000   222.192923
109.550000   210.851442
109.560000   212.161829
109.570000   207.959757
109.580000   206.017791
109.590000   203.318364
109.600000   200.315916
109.610000   197.988701
109.620000   194.935133
109.630000   190.133740
109.640000   185.236234
109.650000   180.340101
109.660000   174.856435
109.670000   165.258484
109.680000   163.304322
109.690000   172.123956
109.700000   169.251614
109.710000   177.322797
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
109.760000   176.664535
109.770000   175.521387
109.780000   176.860061
109.790000   175.395931
109.800000   196.225067
109.810000   192.277971
109.820000   193.739762
