Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
67.870023   242.857617
67.880023   232.597853
67.890023   226.867673
67.900023   219.282210
67.910023   217.374972
67.920023   215.417970
67.930023   214.344360
67.940023   213.879471
67.950023   213.683856
67.960023   213.961974
67.970023   214.979437
67.980023   213.452184
67.990023   211.752934
68.000023   212.170580
68.010023   209.472028
68.020023   208.569549
68.030023   209.648093
68.040023   215.636785
68.050023   220.253255
68.060023   222.524724
68.070023   223.646072
68.080023   225.561644
68.090023   230.068027
68.100023   234.898274
68.110023   238.853964
68.120023   246.286596
68.130023   250.944752
68.140023   253.592350
68.150023   242.598971
68.160023   237.128235
68.170023   242.532767
68.180023   246.757553
68.190023   242.408420
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
68.240023   323.638237
68.250023   310.386731
68.260023   292.801245
68.270023   284.374979
68.280023   277.769657
68.290023   272.172326
68.300023   267.171974
68.310023   262.043875
68.320023   260.871452
68.330023   261.070149
68.340023   260.250024
68.350023   260.367836
68.360023   257.940759
68.370023   253.195333
68.380023   247.516531
68.390023   242.410523
68.400023   237.208357
68.410023   232.676606
68.420023   230.648999
68.430023   228.341010
68.440023   226.907133
68.450023   225.389900
68.460023   214.987575
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
68.630023   222.569889
