Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
99.760023   285.943650
99.770023   262.974564
99.780023   252.431733
99.790023   251.798506
99.800023   254.857899
99.810023   261.230724
99.820023   275.983463
99.830023   289.072317
99.840023   292.658943
99.850023   296.821963
99.860023   299.971758
99.870023   302.088258
99.880023   305.295845
99.890023   306.417857
99.900023   305.130914
99.910023   303.147512
99.920023   300.159663
99.930023   298.932591
99.940023   298.570484
99.950023   296.779930
99.960023   292.948464
99.970023   285.376190
99.980023   282.789164
99.990023   285.778533
100.000023   265.716451
100.010023   248.535986
100.020023   241.890036
100.030023   235.733172
100.040023   234.539023
100.050023   231.506305
100.060023   234.850696
100.070023   238.474731
100.080023   243.424163
100.090023   248.273579
100.100023   251.423524
100.110023   250.954054
100.120023   247.968456
100.130023   243.856420
100.140023   239.633712
100.150023   233.959344
100.160023   228.921361
100.170023   225.405530
100.180023   223.418357
100.190023   226.514515
100.200023   223.980143
100.210023   227.860319
100.220023   228.987392
100.230023   226.318420
100.240023   228.069545
100.250023   229.681763
100.260023   229.808315
100.270023   227.914291
100.280023   219.897059
100.290023   219.372295
100.300023   222.267479
100.310023   221.307030
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
100.360023   255.627971
100.370023   248.281336
100.380023   250.294487
100.390023   250.922885
100.400023   246.064302
100.410023   245.361222
100.420023   245.463405
100.430023   245.346891
100.440023   249.871050
100.450023   250.492523
100.460023   249.468284
100.470023   247.461505
--undefined--   --undefined--
100.490023   389.542061
100.500023   367.224465
100.510023   363.336197
100.520023   362.252187
100.530023   367.302818
100.540023   370.898238
100.550023   374.636544
100.560023   371.036648
100.570023   363.314122
100.580023   363.926018
100.590023   362.766903
100.600023   357.173535
100.610023   351.288452
100.620023   349.480772
100.630023   344.162333
100.640023   328.302322
100.650023   338.625840
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
100.870023   269.492621
100.880023   260.081663
100.890023   255.564257
100.900023   252.251361
100.910023   249.038404
100.920023   246.935334
100.930023   244.192302
100.940023   241.586015
100.950023   238.075442
100.960023   236.067107
100.970023   233.029367
100.980023   229.597302
100.990023   227.003135
101.000023   224.725783
101.010023   221.944377
101.020023   219.971583
101.030023   218.845047
101.040023   216.657988
101.050023   214.465417
101.060023   211.499379
101.070023   209.246564
101.080023   208.122877
101.090023   206.775239
101.100023   205.617197
101.110023   204.096758
101.120023   202.963466
101.130023   202.367391
101.140023   201.470908
101.150023   200.362946
101.160023   199.496734
101.170023   197.561526
101.180023   196.513986
101.190023   207.221198
101.200023   241.478528
101.210023   241.739528
101.220023   236.118887
101.230023   236.462685
101.240023   225.582893
101.250023   236.696359
--undefined--   --undefined--
101.270023   236.697544
101.280023   238.117160
101.290023   236.295985
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
