Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
63.210000   204.787598
63.220000   201.279768
63.230000   198.790460
63.240000   195.090564
63.250000   192.587253
63.260000   195.284159
63.270000   199.475708
63.280000   196.590181
63.290000   197.608325
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
63.370000   224.994135
63.380000   225.288338
63.390000   225.386966
63.400000   224.131791
63.410000   222.022713
63.420000   220.815282
63.430000   220.685022
63.440000   216.818532
63.450000   215.252201
63.460000   213.429930
63.470000   208.924757
63.480000   203.646612
63.490000   204.888888
63.500000   210.296436
63.510000   211.343073
--undefined--   --undefined--
--undefined--   --undefined--
63.540000   205.513589
63.550000   207.508292
63.560000   215.088948
63.570000   203.715640
63.580000   201.670683
63.590000   199.242729
63.600000   196.710047
63.610000   195.401795
63.620000   198.017704
63.630000   197.858224
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
63.780000   269.259861
63.790000   261.054567
63.800000   261.888039
63.810000   263.692335
63.820000   261.846406
63.830000   257.560811
63.840000   257.234404
63.850000   258.507722
63.860000   260.320130
63.870000   262.222844
63.880000   259.952708
63.890000   262.302893
63.900000   261.842647
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
63.990000   215.923461
64.000000   211.935683
