Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
331.980045   179.172467
331.990045   174.911431
332.000045   174.109286
332.010045   173.894757
332.020045   173.832567
332.030045   171.078976
332.040045   167.822674
332.050045   163.076931
332.060045   160.030568
332.070045   160.352133
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
332.160045   160.520984
332.170045   160.076334
332.180045   157.467239
332.190045   157.203524
332.200045   157.122128
332.210045   157.442522
332.220045   160.672787
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
332.300045   178.371621
332.310045   170.167729
332.320045   165.111261
332.330045   158.735706
332.340045   163.047144
332.350045   162.985786
332.360045   160.872091
332.370045   159.950724
332.380045   160.052204
332.390045   155.692135
332.400045   155.146456
332.410045   153.154475
332.420045   152.965507
332.430045   166.047777
332.440045   171.520882
332.450045   173.759099
332.460045   174.987414
332.470045   172.348158
332.480045   169.487922
332.490045   165.977075
332.500045   165.090537
332.510045   168.342698
332.520045   173.176640
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
