Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
86.140000   229.074343
86.150000   220.050824
86.160000   213.866199
86.170000   208.289320
86.180000   202.173571
86.190000   198.871077
86.200000   193.048354
86.210000   187.509367
86.220000   181.109139
86.230000   174.072535
86.240000   167.707250
86.250000   157.464772
86.260000   157.659690
86.270000   157.943999
86.280000   159.799875
86.290000   165.646213
86.300000   166.292055
86.310000   163.559901
86.320000   160.650848
86.330000   157.290773
86.340000   154.180182
86.350000   152.573440
86.360000   151.344924
86.370000   149.663185
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
86.470000   148.146054
86.480000   143.639043
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
86.620000   160.812561
86.630000   155.045539
86.640000   150.950324
86.650000   150.096591
86.660000   149.011763
86.670000   147.426104
86.680000   146.604005
86.690000   143.919281
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
86.810000   154.047118
86.820000   156.172727
86.830000   157.345572
86.840000   158.108706
86.850000   157.868024
86.860000   156.821859
86.870000   155.301508
86.880000   153.524468
86.890000   153.489223
86.900000   157.193400
86.910000   154.685352
86.920000   154.839211
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
