Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
0.041625   101.231868
0.051625   96.224575
0.061625   94.018088
0.071625   95.065838
0.081625   95.698609
0.091625   96.787561
0.101625   98.215802
0.111625   99.663847
0.121625   100.648598
0.131625   101.758020
0.141625   102.986800
0.151625   103.189048
0.161625   100.599401
0.171625   106.251769
0.181625   108.547593
0.191625   110.102470
0.201625   111.557145
0.211625   115.173730
0.221625   118.818367
0.231625   119.702967
0.241625   122.220505
0.251625   124.158183
0.261625   125.321900
0.271625   125.553616
0.281625   125.303531
0.291625   124.567192
0.301625   120.526990
0.311625   116.296605
0.321625   106.701685
0.331625   102.097662
0.341625   96.740999
0.351625   96.363609
0.361625   101.377007
0.371625   102.954723
0.381625   101.529386
0.391625   100.254825
0.401625   99.034366
0.411625   97.765343
0.421625   95.905792
0.431625   94.622031
0.441625   93.995757
0.451625   93.556301
0.461625   92.774215
0.471625   91.506493
0.481625   91.245577
0.491625   91.834870
0.501625   92.206074
0.511625   92.549168
0.521625   92.502061
0.531625   90.768695
0.541625   88.711907
0.551625   86.781665
0.561625   86.828333
0.571625   85.719136
0.581625   85.822334
0.591625   85.685468
0.601625   85.086034
0.611625   85.835860
0.621625   89.616222
0.631625   90.918551
0.641625   87.489641
0.651625   84.160909
0.661625   77.750157
--undefined--   --undefined--
0.681625   86.544144
0.691625   79.896615
0.701625   77.675183
0.711625   102.987565
0.721625   105.364140
0.731625   104.153955
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
