Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.052396   98.555616
0.062396   96.892938
0.072396   97.360205
0.082396   97.876856
0.092396   98.385594
0.102396   99.943228
0.112396   100.268356
0.122396   100.830426
0.132396   102.593341
0.142396   102.713843
0.152396   102.805481
0.162396   103.786362
0.172396   104.519395
0.182396   105.068028
0.192396   105.256352
0.202396   105.397813
0.212396   105.830805
0.222396   105.891956
0.232396   105.806022
0.242396   105.500963
0.252396   105.065173
0.262396   104.544896
0.272396   103.749847
0.282396   102.694250
0.292396   102.251080
0.302396   101.822475
0.312396   100.787371
0.322396   99.666994
0.332396   97.956808
0.342396   95.542629
0.352396   92.389055
0.362396   89.300085
0.372396   88.721461
0.382396   87.477442
0.392396   83.525018
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.852396   98.959019
0.862396   99.829229
0.872396   100.482649
0.882396   100.713035
0.892396   101.962356
0.902396   103.932465
0.912396   105.435674
0.922396   107.687989
0.932396   110.893201
0.942396   114.165504
0.952396   116.460201
0.962396   117.723017
0.972396   118.735438
0.982396   119.289996
0.992396   119.803191
1.002396   119.915532
