Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.082385   81.653831
0.092385   88.709969
0.102385   89.005857
0.112385   88.749000
0.122385   91.285224
0.132385   93.367302
0.142385   93.128407
0.152385   92.769279
0.162385   91.866286
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.292385   94.796891
0.302385   95.765839
0.312385   95.487513
0.322385   95.485060
0.332385   95.220647
0.342385   94.654433
0.352385   94.064591
0.362385   93.409860
0.372385   92.701086
0.382385   92.136603
0.392385   91.855659
0.402385   91.588915
0.412385   91.090045
0.422385   90.287118
0.432385   89.189708
0.442385   89.383200
0.452385   89.316075
0.462385   89.498884
0.472385   89.090094
0.482385   88.851215
0.492385   89.153627
0.502385   89.402320
0.512385   89.454463
0.522385   90.063913
0.532385   89.039497
0.542385   88.742444
0.552385   87.632457
0.562385   87.678191
0.572385   87.520281
0.582385   87.646784
0.592385   92.434379
0.602385   96.164035
0.612385   96.146519
0.622385   96.682963
0.632385   95.975218
0.642385   96.296550
0.652385   96.272866
0.662385   95.996697
0.672385   97.492333
0.682385   97.469115
0.692385   95.227977
0.702385   94.723089
0.712385   92.776279
0.722385   91.641659
0.732385   90.729743
0.742385   87.892235
0.752385   86.786291
0.762385   86.295031
0.772385   84.066439
0.782385   80.774430
0.792385   79.394997
0.802385   79.081235
0.812385   78.130010
0.822385   76.958424
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.862385   95.590886
0.872385   75.272185
0.882385   76.964470
0.892385   79.674308
0.902385   78.285188
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.012385   77.649834
1.022385   80.626555
1.032385   79.235959
1.042385   77.305997
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.082385   79.550054
1.092385   84.180677
1.102385   79.638570
1.112385   78.863926
1.122385   77.920180
1.132385   75.979363
1.142385   75.444616
1.152385   76.854461
1.162385   77.250365
1.172385   76.235396
1.182385   75.882639
1.192385   76.958087
1.202385   76.454466
1.212385   76.633879
1.222385   79.485615
1.232385   78.644892
1.242385   79.261161
1.252385   79.373686
1.262385   79.273630
1.272385   78.208214
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.382385   92.086712
1.392385   77.226981
1.402385   77.776406
1.412385   81.505688
1.422385   80.912598
1.432385   79.058747
1.442385   75.201786
1.452385   77.286950
1.462385   83.160247
1.472385   85.937497
1.482385   84.087038
1.492385   83.888946
1.502385   83.036479
1.512385   82.056381
1.522385   80.510940
1.532385   79.245800
1.542385   79.247106
1.552385   78.735515
1.562385   78.356448
1.572385   78.076428
1.582385   77.991359
1.592385   77.514014
1.602385   77.465169
1.612385   77.537002
1.622385   77.299401
1.632385   76.405461
1.642385   75.621702
--undefined--   --undefined--
1.662385   79.217649
1.672385   82.247576
1.682385   76.036231
1.692385   75.678691
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.742385   84.377880
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
2.062385   79.033267
2.072385   83.148854
2.082385   79.588270
2.092385   77.516823
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
2.262385   115.378234
2.272385   116.681458
2.282385   119.051792
2.292385   121.261710
2.302385   122.615445
2.312385   122.649155
2.322385   121.213988
2.332385   119.758990
2.342385   120.863948
2.352385   119.348134
--undefined--   --undefined--
2.372385   114.223090
2.382385   114.463405
2.392385   97.334405
2.402385   94.666529
2.412385   88.618668
2.422385   82.258800
2.432385   88.793449
2.442385   90.570332
2.452385   96.501124
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
