Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.071948   106.512862
0.081948   105.689265
0.091948   105.561992
0.101948   105.007267
0.111948   103.542491
0.121948   101.177208
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.241948   134.084811
0.251948   110.822995
0.261948   107.102903
0.271948   107.160598
0.281948   107.144204
0.291948   107.652451
0.301948   108.595630
0.311948   108.715921
0.321948   108.312304
0.331948   107.628235
0.341948   107.045098
0.351948   106.119444
0.361948   104.363861
0.371948   102.902241
0.381948   101.906421
0.391948   100.834557
0.401948   99.642584
0.411948   98.116662
0.421948   95.886742
0.431948   93.861171
0.441948   90.590378
0.451948   86.538760
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.551948   100.345063
0.561948   101.376998
0.571948   101.335731
0.581948   100.787659
0.591948   100.075915
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.651948   461.633103
0.661948   455.101185
0.671948   447.041651
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.941948   192.135730
0.951948   188.882633
0.961948   188.239221
0.971948   187.551481
0.981948   185.494493
0.991948   180.325401
1.001948   173.826593
1.011948   166.770777
1.021948   161.788953
1.031948   157.869271
1.041948   152.748485
1.051948   144.628122
1.061948   134.838666
1.071948   125.169002
1.081948   113.902185
1.091948   107.784792
1.101948   105.101759
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
