Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.071594   369.757396
0.081594   372.164703
0.091594   400.578966
--undefined--   --undefined--
0.111594   115.603419
0.121594   117.224486
0.131594   118.730196
0.141594   120.235461
0.151594   121.377312
0.161594   122.524787
0.171594   122.883942
0.181594   121.503135
0.191594   121.004762
0.201594   121.390149
0.211594   122.124889
0.221594   121.923174
0.231594   121.197326
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.291594   139.222078
0.301594   137.242183
0.311594   135.076083
0.321594   132.939431
0.331594   131.507016
0.341594   129.892627
0.351594   128.601150
0.361594   126.698380
0.371594   124.505728
0.381594   121.673447
0.391594   119.525974
0.401594   117.602507
0.411594   115.238374
0.421594   112.783703
0.431594   110.412871
0.441594   108.850707
0.451594   107.376742
0.461594   105.391715
0.471594   102.266799
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.571594   114.728429
0.581594   114.002702
0.591594   112.299107
0.601594   112.237456
0.611594   112.309510
0.621594   113.104765
0.631594   114.354370
0.641594   114.467596
0.651594   114.124516
0.661594   114.380455
0.671594   113.690029
0.681594   112.901423
0.691594   112.974937
0.701594   112.007060
0.711594   109.419251
0.721594   108.964958
0.731594   112.543093
0.741594   111.725162
0.751594   111.777527
0.761594   112.621178
0.771594   113.102341
0.781594   123.352752
0.791594   123.127167
0.801594   113.060967
0.811594   103.300576
0.821594   104.372746
0.831594   107.643880
0.841594   110.138759
0.851594   110.506586
0.861594   107.907792
0.871594   106.376236
0.881594   104.819864
0.891594   104.204415
0.901594   103.880618
0.911594   103.948169
0.921594   103.781351
0.931594   104.025647
0.941594   104.709274
0.951594   105.134342
0.961594   105.527250
0.971594   106.010296
0.981594   105.800754
0.991594   106.465229
1.001594   106.760465
1.011594   106.804863
1.021594   107.226026
1.031594   109.776808
1.041594   111.197736
1.051594   111.296772
1.061594   110.649840
