Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
478.640113   116.199489
478.650113   103.141716
478.660113   101.755223
478.670113   98.152456
478.680113   95.357217
478.690113   94.674351
478.700113   93.067711
478.710113   91.776598
478.720113   92.050610
478.730113   93.223330
478.740113   94.622367
478.750113   95.905146
478.760113   96.221275
478.770113   96.037190
478.780113   95.872863
478.790113   97.332712
478.800113   98.216449
478.810113   99.365253
478.820113   100.129644
478.830113   99.844256
478.840113   99.325979
478.850113   99.022089
478.860113   98.571063
478.870113   98.104921
478.880113   96.540877
478.890113   94.588716
478.900113   93.643107
478.910113   92.822176
478.920113   91.414698
478.930113   89.617318
478.940113   88.466145
478.950113   85.286426
478.960113   86.400535
478.970113   86.741418
478.980113   84.144343
478.990113   84.790983
479.000113   86.034649
479.010113   84.747400
479.020113   84.233598
479.030113   83.468040
479.040113   83.831115
479.050113   83.392458
479.060113   82.762162
479.070113   80.893056
479.080113   80.246530
479.090113   79.864228
479.100113   84.124018
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
479.200113   95.969374
479.210113   94.105140
479.220113   92.027503
479.230113   90.191122
479.240113   87.752681
479.250113   84.564847
479.260113   84.196705
479.270113   87.816803
479.280113   88.021248
479.290113   87.437246
479.300113   87.085189
479.310113   87.725853
479.320113   88.620605
479.330113   88.870014
479.340113   88.995487
479.350113   89.548021
479.360113   91.895887
479.370113   94.011416
479.380113   96.376189
479.390113   98.942059
479.400113   99.267550
479.410113   100.578810
479.420113   124.766466
479.430113   130.042387
479.440113   135.185343
479.450113   139.219381
479.460113   142.185519
479.470113   145.295489
479.480113   146.813467
479.490113   146.905392
479.500113   146.530947
479.510113   145.160118
479.520113   144.190600
479.530113   146.017797
479.540113   145.864473
479.550113   142.999415
479.560113   141.812689
479.570113   145.537283
479.580113   145.732498
479.590113   145.757771
