Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
419.890068   155.140306
419.900068   148.605469
419.910068   146.058405
--undefined--   --undefined--
--undefined--   --undefined--
419.940068   101.144189
419.950068   102.993615
419.960068   100.156575
419.970068   98.627912
419.980068   97.939041
419.990068   95.420080
420.000068   93.718730
420.010068   92.528032
420.020068   91.626970
420.030068   90.633515
420.040068   90.721968
420.050068   90.550628
420.060068   90.035874
420.070068   89.962625
420.080068   89.112752
420.090068   89.070391
420.100068   89.009222
420.110068   89.048848
420.120068   89.122405
420.130068   89.048777
420.140068   89.772832
420.150068   89.682958
420.160068   89.787542
420.170068   89.735364
420.180068   89.378587
420.190068   89.285426
420.200068   89.065607
420.210068   88.665676
420.220068   88.073972
420.230068   87.612345
420.240068   87.718068
420.250068   87.367935
420.260068   87.141132
420.270068   87.100545
420.280068   87.089222
420.290068   86.772997
420.300068   86.590693
420.310068   86.397819
420.320068   85.751132
420.330068   85.658477
420.340068   85.365236
420.350068   85.312279
420.360068   85.318367
420.370068   85.358659
420.380068   85.458295
420.390068   85.192610
420.400068   84.262323
420.410068   83.813141
420.420068   83.542204
420.430068   83.435337
420.440068   83.194227
420.450068   83.050699
420.460068   82.634275
420.470068   82.648308
420.480068   82.464000
420.490068   83.208028
420.500068   83.623814
420.510068   84.587606
420.520068   88.092629
420.530068   92.036505
420.540068   97.940031
420.550068   102.783993
420.560068   108.164932
420.570068   114.425163
420.580068   120.411259
420.590068   128.261798
420.600068   133.483635
420.610068   139.255428
420.620068   145.629258
420.630068   154.709896
420.640068   162.120814
420.650068   165.847054
420.660068   165.894765
420.670068   166.824996
420.680068   177.005810
420.690068   177.573677
420.700068   175.931167
420.710068   172.658626
420.720068   166.852802
420.730068   167.753507
420.740068   164.282081
420.750068   160.095694
420.760068   153.971742
420.770068   147.583258
