Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
820.670204   89.162042
820.680204   96.409266
820.690204   93.703119
820.700204   94.546990
820.710204   94.446125
820.720204   92.495835
820.730204   88.898702
820.740204   88.779041
820.750204   93.101046
820.760204   93.990943
820.770204   93.845182
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
820.870204   112.899011
820.880204   119.678282
820.890204   116.018739
820.900204   114.410531
820.910204   112.626763
820.920204   112.342638
820.930204   113.861960
820.940204   115.736283
--undefined--   --undefined--
--undefined--   --undefined--
820.970204   223.624776
820.980204   221.251565
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
821.020204   128.562651
821.030204   114.615919
821.040204   112.415559
821.050204   111.437907
821.060204   111.164232
821.070204   111.426264
821.080204   112.319697
821.090204   113.553000
821.100204   114.463864
821.110204   113.435430
821.120204   111.069364
821.130204   117.473319
821.140204   119.823846
821.150204   124.891016
821.160204   124.239596
821.170204   125.493197
821.180204   127.173438
821.190204   127.217573
821.200204   125.339931
821.210204   125.930687
821.220204   121.846970
821.230204   119.717515
821.240204   118.070077
821.250204   117.007857
821.260204   116.190628
821.270204   114.188336
821.280204   113.853934
821.290204   115.077694
821.300204   115.879020
821.310204   114.360775
821.320204   110.057466
821.330204   101.993440
821.340204   111.002788
821.350204   114.159458
821.360204   115.543973
821.370204   117.823739
821.380204   118.507040
821.390204   117.985657
821.400204   128.465173
821.410204   133.158437
821.420204   135.210623
821.430204   139.198858
821.440204   142.470330
821.450204   144.993838
821.460204   147.726587
821.470204   149.732518
821.480204   149.801789
821.490204   148.679973
821.500204   147.207264
821.510204   144.663403
821.520204   143.233939
821.530204   139.035346
821.540204   129.956930
821.550204   115.099132
821.560204   114.357067
821.570204   140.773750
821.580204   146.108517
--undefined--   --undefined--
