Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
225.190045   96.055486
225.200045   84.644449
225.210045   84.738696
225.220045   84.114907
225.230045   82.186662
225.240045   80.864536
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
225.350045   122.507505
225.360045   122.426389
225.370045   121.760953
--undefined--   --undefined--
225.390045   79.756041
225.400045   79.464054
225.410045   79.426692
225.420045   81.049030
225.430045   81.067881
225.440045   81.910008
225.450045   82.391147
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
225.490045   95.475825
225.500045   96.857893
225.510045   96.098128
--undefined--   --undefined--
--undefined--   --undefined--
225.540045   98.383473
225.550045   97.790135
225.560045   83.086865
225.570045   84.405574
225.580045   84.323404
225.590045   81.435058
225.600045   79.563647
225.610045   81.647133
225.620045   83.890245
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
225.880045   101.607548
225.890045   109.509884
225.900045   111.717054
225.910045   115.773847
225.920045   120.458808
225.930045   126.481463
225.940045   129.708204
225.950045   129.485389
225.960045   128.841036
225.970045   132.373033
225.980045   132.889618
225.990045   131.087301
226.000045   129.895447
226.010045   128.623400
226.020045   127.147174
226.030045   126.964375
226.040045   129.444283
226.050045   131.930849
--undefined--   --undefined--
--undefined--   --undefined--
226.080045   156.626085
226.090045   121.297157
226.100045   120.388971
226.110045   117.654541
226.120045   114.100370
226.130045   110.571623
226.140045   107.895224
226.150045   105.499839
226.160045   104.338795
226.170045   104.641011
226.180045   102.865151
226.190045   102.920847
226.200045   102.721560
226.210045   102.567139
226.220045   103.791321
226.230045   102.465435
226.240045   103.269482
226.250045   103.181437
226.260045   102.434230
226.270045   104.144365
226.280045   103.719053
226.290045   102.346295
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
226.590045   116.415974
226.600045   116.987790
226.610045   115.530529
226.620045   110.436274
226.630045   105.793451
226.640045   103.652444
226.650045   101.595588
226.660045   99.572041
226.670045   99.106228
226.680045   98.288190
226.690045   97.171279
226.700045   95.438410
226.710045   92.564314
226.720045   92.217415
226.730045   93.274527
226.740045   96.614797
226.750045   96.400719
226.760045   97.326490
226.770045   96.329145
226.780045   95.283392
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
226.820045   100.651582
226.830045   100.866378
226.840045   99.762888
226.850045   98.009879
226.860045   100.273372
226.870045   101.674844
226.880045   102.823240
226.890045   101.827016
226.900045   101.240744
226.910045   101.389161
226.920045   97.831727
226.930045   98.888196
226.940045   99.224958
226.950045   99.904996
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
227.130045   95.783833
227.140045   95.991153
227.150045   83.226080
227.160045   84.885721
227.170045   84.688185
227.180045   98.477201
227.190045   98.966715
227.200045   98.091601
227.210045   84.874272
227.220045   83.875562
227.230045   84.566861
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
227.340045   80.571790
227.350045   87.146035
227.360045   87.122597
227.370045   86.911424
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
