Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
204.470023   97.478960
204.480023   100.957606
204.490023   98.161078
204.500023   99.129713
204.510023   97.685757
204.520023   99.685131
204.530023   100.110780
204.540023   102.305327
204.550023   102.894186
204.560023   103.148130
204.570023   103.447849
204.580023   102.964466
204.590023   102.624918
204.600023   101.671880
204.610023   101.026460
204.620023   99.697363
204.630023   98.036002
204.640023   98.638734
204.650023   99.030215
204.660023   94.463253
204.670023   97.980835
204.680023   98.603616
204.690023   98.469927
204.700023   99.715443
204.710023   96.740984
204.720023   97.850465
204.730023   98.007726
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
204.830023   97.525435
204.840023   95.935757
204.850023   91.800974
204.860023   96.735971
204.870023   92.943546
204.880023   95.223377
204.890023   92.797050
204.900023   92.832962
204.910023   92.450185
204.920023   92.234730
204.930023   99.381282
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
205.020023   91.348721
205.030023   97.708011
205.040023   94.733942
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
