Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
16.450000   203.930176
16.460000   197.889976
16.470000   192.296481
16.480000   187.661720
16.490000   183.580181
16.500000   182.236593
16.510000   184.400931
16.520000   193.068802
16.530000   203.264015
16.540000   212.108100
16.550000   217.836109
16.560000   221.317335
16.570000   224.872981
16.580000   227.397932
16.590000   229.412599
16.600000   231.082639
16.610000   228.789733
16.620000   224.845489
16.630000   223.916190
16.640000   224.653562
16.650000   228.503746
16.660000   229.340787
16.670000   226.550237
16.680000   224.461768
16.690000   222.443850
16.700000   217.793859
16.710000   210.667238
16.720000   208.884339
16.730000   206.865578
16.740000   202.517902
16.750000   197.936248
16.760000   192.540681
16.770000   188.372615
16.780000   195.862203
16.790000   198.357010
16.800000   197.401556
16.810000   196.142710
16.820000   194.417725
16.830000   194.114598
16.840000   193.472062
16.850000   190.392142
16.860000   188.894144
16.870000   184.927941
16.880000   182.792780
16.890000   185.460454
16.900000   191.869652
16.910000   189.488460
16.920000   188.624094
16.930000   199.117895
16.940000   214.595846
16.950000   209.368796
16.960000   207.009872
16.970000   205.181321
16.980000   205.755250
16.990000   206.061672
17.000000   204.287549
17.010000   203.223692
17.020000   202.133382
17.030000   200.403230
17.040000   199.687100
17.050000   201.325577
17.060000   202.881890
17.070000   204.648154
17.080000   203.457077
17.090000   200.380949
17.100000   198.974501
17.110000   199.960634
17.120000   198.814074
17.130000   205.513949
17.140000   193.864727
17.150000   190.966917
17.160000   189.657882
17.170000   189.770101
17.180000   190.453080
17.190000   190.656945
17.200000   189.373254
17.210000   184.523646
17.220000   181.945088
17.230000   183.542434
17.240000   184.730656
17.250000   185.721932
17.260000   186.744211
17.270000   187.005680
17.280000   187.192808
17.290000   187.471196
