Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
528.220091   86.899696
528.230091   87.747333
528.240091   88.787415
528.250091   90.096161
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
528.310091   202.170685
528.320091   192.546507
528.330091   193.661669
528.340091   200.318408
528.350091   210.125434
528.360091   220.591713
528.370091   227.972431
528.380091   233.705677
528.390091   238.815387
528.400091   242.498615
528.410091   246.208334
528.420091   249.386847
528.430091   253.618853
528.440091   256.443401
528.450091   253.413879
528.460091   247.175319
528.470091   247.759886
528.480091   248.969600
528.490091   250.834132
528.500091   258.472520
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
528.560091   250.378264
528.570091   247.399265
528.580091   242.707274
528.590091   233.288351
528.600091   226.368445
528.610091   222.750851
528.620091   218.278632
528.630091   215.206365
528.640091   213.553686
528.650091   209.260691
528.660091   209.259399
528.670091   205.482835
528.680091   200.228021
528.690091   197.515096
528.700091   194.754481
528.710091   194.661383
528.720091   193.417011
528.730091   191.335561
528.740091   188.819129
528.750091   187.888703
528.760091   187.667462
528.770091   187.975598
528.780091   186.219775
528.790091   185.702107
528.800091   186.568196
528.810091   189.001463
528.820091   188.020076
528.830091   184.388949
528.840091   182.619288
528.850091   185.881510
528.860091   189.100770
528.870091   190.347364
528.880091   188.772674
528.890091   187.574608
528.900091   187.478810
528.910091   187.125002
528.920091   186.130320
528.930091   185.626226
528.940091   183.054798
528.950091   179.326108
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
529.030091   242.461801
529.040091   235.933691
529.050091   229.433985
529.060091   223.186264
529.070091   217.083268
529.080091   212.983380
529.090091   210.792865
529.100091   208.692533
529.110091   207.008349
529.120091   201.348928
529.130091   193.813976
529.140091   209.074745
529.150091   205.829961
529.160091   205.035888
529.170091   204.701019
529.180091   205.560880
529.190091   209.545207
529.200091   210.300667
529.210091   210.226974
529.220091   202.935392
529.230091   193.082691
529.240091   192.116514
529.250091   186.393542
529.260091   179.549863
529.270091   189.591197
529.280091   193.126171
529.290091   190.416436
529.300091   183.820283
529.310091   177.258297
529.320091   189.332341
529.330091   191.215193
529.340091   193.626029
--undefined--   --undefined--
529.360091   197.852436
529.370091   198.512320
529.380091   198.651134
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
529.440091   219.735826
529.450091   222.704525
529.460091   224.368624
529.470091   226.088941
529.480091   227.873076
529.490091   229.286004
529.500091   229.498962
529.510091   229.998757
529.520091   230.505007
529.530091   230.948110
529.540091   230.924991
529.550091   230.938788
529.560091   230.219294
529.570091   229.359870
529.580091   227.614005
529.590091   221.800771
529.600091   221.637791
529.610091   226.465249
529.620091   223.444160
529.630091   220.609369
529.640091   218.112246
529.650091   216.091013
529.660091   212.900329
529.670091   207.029535
529.680091   203.551200
529.690091   200.022160
529.700091   192.401519
529.710091   186.783418
529.720091   183.928231
529.730091   180.371244
529.740091   177.792082
529.750091   181.387765
529.760091   181.495191
529.770091   181.687873
529.780091   182.945588
529.790091   184.778784
529.800091   185.719669
529.810091   185.941274
529.820091   185.436319
529.830091   186.297375
529.840091   186.507177
529.850091   186.085450
529.860091   186.414383
529.870091   182.544403
529.880091   180.668650
529.890091   184.213779
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
