Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
190.458866   186.653385
190.468866   185.877931
190.478866   186.054215
190.488866   186.239221
190.498866   185.753742
190.508866   185.148039
190.518866   185.859475
190.528866   186.886280
190.538866   188.344815
190.548866   189.276820
190.558866   189.006748
190.568866   189.073596
190.578866   189.453349
190.588866   188.741278
190.598866   186.286274
190.608866   184.025514
190.618866   185.908652
190.628866   188.475335
190.638866   186.871771
190.648866   186.155583
190.658866   185.802621
190.668866   186.951138
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
190.748866   195.239328
190.758866   190.521013
190.768866   185.664317
190.778866   181.398944
190.788866   180.794338
190.798866   180.186541
190.808866   178.637728
190.818866   176.430779
190.828866   173.588489
190.838866   170.565735
190.848866   170.613201
190.858866   172.732988
190.868866   173.081504
190.878866   172.792048
190.888866   172.624313
190.898866   172.947914
190.908866   174.522539
190.918866   177.026444
190.928866   179.074714
190.938866   181.919319
190.948866   183.863062
190.958866   186.124904
190.968866   189.365129
190.978866   192.879075
190.988866   195.699795
190.998866   199.526264
191.008866   206.649590
191.018866   205.331626
191.028866   204.946984
191.038866   207.540217
191.048866   208.557954
191.058866   208.672955
191.068866   213.296041
191.078866   215.203259
191.088866   214.963692
191.098866   213.661643
191.108866   212.593185
191.118866   212.947031
191.128866   213.606620
191.138866   211.351733
191.148866   205.975508
191.158866   202.664664
191.168866   204.056695
191.178866   210.439688
191.188866   209.699554
191.198866   206.942201
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
