Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
316.980068   189.946277
316.990068   182.439032
317.000068   178.978603
317.010068   178.005584
317.020068   178.198934
317.030068   179.370706
317.040068   186.334759
317.050068   189.569064
317.060068   191.988527
317.070068   193.859267
317.080068   194.904199
317.090068   194.670613
317.100068   194.303704
317.110068   191.378713
317.120068   184.930457
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
317.240068   213.754175
317.250068   208.571016
317.260068   203.448619
317.270068   199.592707
317.280068   196.346922
317.290068   194.395526
317.300068   193.049731
317.310068   191.276579
317.320068   189.700950
317.330068   188.267943
317.340068   189.423200
317.350068   188.830238
317.360068   186.742335
317.370068   184.278124
317.380068   182.662499
317.390068   181.882166
317.400068   181.337865
317.410068   178.689771
317.420068   177.715151
317.430068   176.835721
317.440068   176.059876
317.450068   176.241970
317.460068   176.709676
317.470068   177.217473
317.480068   176.436744
317.490068   172.710802
317.500068   170.969392
317.510068   173.489398
317.520068   173.314487
317.530068   170.411714
317.540068   167.587339
317.550068   171.425476
317.560068   170.727470
317.570068   175.042331
317.580068   181.544365
317.590068   191.144484
317.600068   198.621868
317.610068   198.921219
317.620068   192.217655
317.630068   177.725631
317.640068   182.178159
317.650068   184.773974
317.660068   186.507663
317.670068   187.742743
317.680068   188.243301
317.690068   188.750677
317.700068   188.287942
317.710068   188.277929
317.720068   188.497827
317.730068   187.722788
317.740068   187.510700
317.750068   191.071973
317.760068   193.226659
317.770068   194.147174
317.780068   194.859568
317.790068   195.936410
317.800068   197.927173
317.810068   200.418938
317.820068   203.397696
317.830068   208.936330
317.840068   216.151188
317.850068   224.621383
317.860068   230.515013
317.870068   236.024981
317.880068   243.477989
317.890068   251.172138
317.900068   257.206467
317.910068   263.407093
317.920068   271.323407
317.930068   277.585027
317.940068   279.764532
317.950068   279.200481
317.960068   276.433399
317.970068   279.072178
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
318.160068   202.519725
318.170068   194.016323
318.180068   188.475534
318.190068   178.014389
318.200068   172.755654
318.210068   170.014252
318.220068   165.064232
318.230068   164.198026
318.240068   163.351571
318.250068   82.320479
318.260068   82.661665
318.270068   86.276376
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
