Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
252.910045   159.240090
252.920045   157.258326
252.930045   153.053107
252.940045   148.118067
252.950045   140.354969
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
253.090045   149.447863
253.100045   145.428235
253.110045   143.235499
253.120045   143.778560
253.130045   143.627497
253.140045   142.102250
253.150045   141.343710
253.160045   139.714256
253.170045   137.735874
253.180045   139.185113
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
253.460045   155.311782
253.470045   147.853540
253.480045   145.610648
253.490045   144.938031
253.500045   143.866478
253.510045   143.303079
253.520045   142.456789
253.530045   140.271372
253.540045   137.717342
253.550045   135.646424
253.560045   136.098341
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
253.650045   161.358463
253.660045   151.352674
253.670045   143.087377
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
253.780045   145.236166
253.790045   145.781236
253.800045   141.569402
253.810045   138.241404
253.820045   140.749317
253.830045   143.956377
253.840045   152.203392
253.850045   162.184471
253.860045   159.044920
253.870045   155.532868
253.880045   154.242803
253.890045   156.102075
253.900045   160.666945
253.910045   175.180040
253.920045   203.702604
253.930045   196.729353
253.940045   197.269921
253.950045   200.418369
253.960045   205.375703
253.970045   209.831514
253.980045   214.055405
253.990045   217.473197
254.000045   221.366877
254.010045   223.557946
254.020045   222.569538
254.030045   229.915461
254.040045   229.839067
254.050045   229.703416
254.060045   229.266165
254.070045   229.856974
254.080045   230.653088
254.090045   229.521820
254.100045   235.820372
254.110045   231.749584
254.120045   223.290180
254.130045   219.334654
254.140045   215.336291
254.150045   211.052123
254.160045   208.014048
254.170045   206.891671
254.180045   204.982120
254.190045   203.243903
254.200045   205.163826
254.210045   210.006932
254.220045   204.880540
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
