Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
125.800023   200.759938
125.810023   199.517989
125.820023   202.193816
125.830023   202.391381
125.840023   200.852330
125.850023   200.052398
125.860023   194.431854
125.870023   194.359035
125.880023   203.677904
125.890023   204.996204
125.900023   221.636754
125.910023   238.798565
125.920023   249.964062
125.930023   257.858229
125.940023   266.527430
125.950023   273.644713
125.960023   276.335812
125.970023   277.295834
125.980023   277.233538
125.990023   277.302483
126.000023   275.775205
126.010023   272.414238
126.020023   268.293438
126.030023   264.429757
126.040023   262.610468
126.050023   262.466546
126.060023   264.894950
126.070023   264.256836
126.080023   254.189542
126.090023   244.468545
126.100023   251.107376
126.110023   263.865922
126.120023   262.714088
126.130023   259.070488
126.140023   261.759273
126.150023   263.816539
--undefined--   --undefined--
--undefined--   --undefined--
126.180023   247.157774
126.190023   238.526133
126.200023   231.903035
126.210023   224.099072
126.220023   218.557328
--undefined--   --undefined--
--undefined--   --undefined--
126.250023   228.334915
126.260023   227.598883
126.270023   223.974157
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
126.330023   189.510485
126.340023   194.183816
126.350023   197.733686
126.360023   199.475059
126.370023   201.383914
126.380023   201.388588
126.390023   199.456441
126.400023   200.151513
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
