Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
246.730045   292.208191
246.740045   288.891005
246.750045   292.379965
246.760045   294.668143
246.770045   300.846196
246.780045   311.007870
246.790045   320.908181
246.800045   333.760212
246.810045   338.201615
246.820045   334.540747
246.830045   327.280210
246.840045   319.447751
246.850045   309.408999
246.860045   296.431728
246.870045   275.328891
246.880045   251.647616
246.890045   239.359075
246.900045   224.803307
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
247.000045   207.167256
247.010045   207.721459
247.020045   206.881198
247.030045   210.171009
247.040045   210.113071
247.050045   204.003782
247.060045   200.336354
247.070045   200.486574
247.080045   197.711086
247.090045   198.478635
247.100045   199.077480
247.110045   197.076074
247.120045   200.703345
247.130045   200.497209
247.140045   193.267667
247.150045   181.655790
247.160045   178.128989
247.170045   177.790568
247.180045   178.100417
247.190045   183.046260
247.200045   192.561249
247.210045   201.156793
247.220045   192.877920
247.230045   186.807024
247.240045   185.864837
247.250045   185.365753
247.260045   185.082416
247.270045   182.978309
247.280045   179.975085
247.290045   177.040228
247.300045   174.941464
247.310045   192.891187
247.320045   214.264489
247.330045   216.390051
247.340045   218.859726
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
247.520045   189.063067
247.530045   182.995642
247.540045   180.224959
247.550045   177.683247
247.560045   172.738448
247.570045   168.123749
247.580045   160.128301
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
