Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
173.050952   374.822336
173.060952   373.422318
173.070952   366.297568
173.080952   366.476378
173.090952   369.761331
173.100952   367.749374
173.110952   365.519651
173.120952   365.152117
173.130952   366.493175
173.140952   360.524030
173.150952   359.988985
173.160952   329.736863
173.170952   331.198251
173.180952   322.968081
173.190952   315.281987
173.200952   304.512983
173.210952   286.703776
173.220952   277.049967
173.230952   265.761066
173.240952   260.167269
173.250952   254.343838
173.260952   249.721967
173.270952   250.040412
173.280952   254.390856
173.290952   244.521035
173.300952   241.183227
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
173.390952   226.432006
173.400952   213.536902
173.410952   207.245033
173.420952   205.647516
173.430952   202.566934
173.440952   197.998816
173.450952   192.471835
173.460952   191.463253
173.470952   189.395010
173.480952   188.934794
173.490952   190.002136
173.500952   190.564403
173.510952   191.014353
173.520952   192.200999
173.530952   192.672396
173.540952   193.691692
173.550952   193.532200
173.560952   191.271923
173.570952   186.676317
173.580952   182.480202
173.590952   178.306748
173.600952   174.197323
173.610952   171.643336
173.620952   174.865120
173.630952   180.978023
173.640952   184.240976
173.650952   186.025698
173.660952   186.871306
173.670952   186.175772
173.680952   184.581525
173.690952   183.053021
173.700952   180.787443
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
