Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
142.350045   116.483773
142.360045   125.185204
142.370045   128.417597
142.380045   130.848613
142.390045   132.340156
142.400045   132.046114
142.410045   130.694613
142.420045   132.137725
142.430045   135.764413
142.440045   138.675430
142.450045   145.489493
142.460045   152.937654
142.470045   163.786785
142.480045   171.038019
142.490045   178.213393
142.500045   185.807749
142.510045   188.732657
142.520045   192.636630
142.530045   195.273395
142.540045   197.346533
142.550045   198.915421
142.560045   200.371014
142.570045   201.019235
142.580045   200.784686
142.590045   199.843801
142.600045   198.044992
142.610045   195.458358
142.620045   191.927068
142.630045   186.839356
142.640045   180.190298
142.650045   178.406364
142.660045   172.328563
142.670045   158.565371
142.680045   147.732927
142.690045   154.777600
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
142.770045   170.831501
142.780045   169.676389
142.790045   170.320701
142.800045   170.989928
142.810045   170.922583
142.820045   170.254968
142.830045   169.320461
142.840045   168.506317
142.850045   167.320456
142.860045   164.783781
142.870045   163.127312
142.880045   166.779992
142.890045   169.157237
142.900045   171.171416
142.910045   172.817765
142.920045   173.700513
142.930045   174.315907
142.940045   175.065729
142.950045   175.966292
142.960045   177.378162
142.970045   178.834897
142.980045   177.689401
142.990045   177.101914
143.000045   174.998111
143.010045   169.549014
143.020045   165.306554
143.030045   156.181193
143.040045   146.509876
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
143.200045   193.454499
143.210045   192.327092
143.220045   189.462153
143.230045   187.975530
143.240045   184.406542
143.250045   181.943902
143.260045   181.164229
143.270045   180.779364
143.280045   180.462668
143.290045   179.891351
143.300045   179.472495
143.310045   179.333384
143.320045   179.083700
143.330045   179.010663
143.340045   178.907362
143.350045   178.398236
