Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
20.760000   101.425212
20.770000   111.342864
20.780000   112.669573
20.790000   114.062036
20.800000   116.541327
20.810000   119.338427
20.820000   123.740851
20.830000   127.058641
20.840000   126.452807
20.850000   125.715927
20.860000   136.281312
20.870000   147.297601
20.880000   148.200657
20.890000   156.091372
20.900000   164.427689
20.910000   173.075463
20.920000   183.110913
20.930000   192.551773
20.940000   205.923041
20.950000   216.134437
20.960000   221.412317
20.970000   228.794210
20.980000   230.517029
20.990000   234.140953
21.000000   234.215319
21.010000   230.147823
21.020000   225.031402
21.030000   218.048594
21.040000   215.278295
21.050000   214.455509
21.060000   214.440138
21.070000   217.959584
21.080000   215.472819
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
21.150000   172.530024
21.160000   166.197332
21.170000   163.048540
21.180000   159.222072
21.190000   153.204115
21.200000   147.543407
21.210000   143.568412
21.220000   138.892850
21.230000   134.507246
21.240000   129.906920
21.250000   129.605064
21.260000   127.269511
21.270000   123.998577
21.280000   122.285267
21.290000   121.326055
21.300000   120.950012
21.310000   121.201368
21.320000   120.969986
21.330000   120.509089
21.340000   120.143167
21.350000   119.818030
21.360000   118.977475
21.370000   117.839416
21.380000   115.917235
21.390000   112.815023
21.400000   108.563664
21.410000   104.819880
21.420000   101.103944
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
21.520000   115.483339
21.530000   118.338669
21.540000   119.985336
21.550000   120.268935
21.560000   122.545412
21.570000   126.694367
21.580000   132.973726
21.590000   140.055560
21.600000   142.984235
21.610000   147.260756
21.620000   153.954518
21.630000   161.851138
21.640000   168.162927
21.650000   173.816472
21.660000   176.626123
21.670000   178.261453
21.680000   178.336954
21.690000   175.160806
21.700000   169.806777
21.710000   159.939075
21.720000   159.543538
21.730000   157.491792
21.740000   157.878336
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
21.910000   119.253469
21.920000   118.641838
21.930000   117.482572
21.940000   117.894432
21.950000   119.976823
21.960000   122.644657
21.970000   125.154691
21.980000   131.211076
21.990000   136.244857
22.000000   140.941608
22.010000   142.752029
22.020000   145.072049
22.030000   150.474447
22.040000   154.267887
22.050000   156.869641
22.060000   158.832535
22.070000   158.928659
22.080000   157.516106
22.090000   154.157523
22.100000   150.831643
22.110000   150.450536
22.120000   150.274174
22.130000   146.819320
22.140000   145.546473
22.150000   143.438030
22.160000   140.868575
22.170000   139.814183
22.180000   139.695421
22.190000   137.888151
22.200000   136.048234
22.210000   133.978586
22.220000   131.345234
22.230000   127.076828
22.240000   118.552680
22.250000   115.106769
22.260000   111.780013
22.270000   108.573651
22.280000   112.170664
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
22.480000   116.857201
22.490000   115.098996
22.500000   112.101193
22.510000   109.971527
22.520000   107.664523
22.530000   108.817718
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
