Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
41.480000   238.422440
41.490000   239.963304
41.500000   251.274153
41.510000   257.284302
41.520000   264.245015
41.530000   270.575123
41.540000   271.850141
41.550000   269.300446
41.560000   262.939777
41.570000   254.677495
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
41.680000   145.536732
41.690000   142.740160
41.700000   140.060180
41.710000   136.662700
41.720000   131.835766
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
41.890000   118.784222
41.900000   113.913462
41.910000   109.864621
41.920000   107.421908
41.930000   105.479317
41.940000   102.917287
41.950000   101.906976
41.960000   99.399089
41.970000   95.924667
41.980000   94.793111
41.990000   92.322431
42.000000   88.674426
42.010000   86.072756
42.020000   84.138935
42.030000   83.822116
42.040000   83.273644
42.050000   80.080766
42.060000   79.287939
42.070000   76.792471
42.080000   76.644636
42.090000   76.375389
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
