Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
83.670023   190.804940
83.680023   196.240771
83.690023   198.468829
83.700023   200.937867
83.710023   201.758079
83.720023   201.633212
83.730023   201.630007
83.740023   201.038963
83.750023   200.214225
83.760023   199.401806
83.770023   199.256723
83.780023   200.017217
83.790023   200.259447
83.800023   200.489035
83.810023   200.701104
83.820023   201.258087
83.830023   200.651831
83.840023   191.850614
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
83.920023   213.575791
83.930023   213.530306
83.940023   217.007205
83.950023   217.583377
83.960023   217.924525
83.970023   217.859597
83.980023   217.646712
83.990023   217.906273
84.000023   218.295810
84.010023   218.471146
84.020023   218.297156
84.030023   217.806624
84.040023   217.357782
84.050023   217.442383
84.060023   216.708611
84.070023   215.575738
84.080023   216.652012
84.090023   217.628433
84.100023   220.594105
84.110023   222.604425
84.120023   224.659943
84.130023   226.785556
84.140023   230.153680
84.150023   233.354180
84.160023   236.644585
84.170023   241.944805
84.180023   243.888737
84.190023   245.801780
84.200023   246.178012
84.210023   247.356274
84.220023   247.705625
84.230023   248.267495
84.240023   250.142417
84.250023   252.381438
84.260023   253.369733
84.270023   256.452669
84.280023   260.095745
84.290023   262.111293
84.300023   263.301059
84.310023   262.761766
84.320023   261.909164
84.330023   261.947213
84.340023   261.548333
84.350023   261.906668
84.360023   263.957071
84.370023   262.789151
84.380023   260.905773
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
84.440023   219.831301
84.450023   213.793288
84.460023   210.422691
84.470023   204.451127
84.480023   201.669942
84.490023   201.180522
84.500023   200.742842
84.510023   198.367478
84.520023   198.993689
84.530023   200.862929
84.540023   201.528670
84.550023   201.349509
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
84.670023   213.463901
84.680023   211.269964
84.690023   209.043440
84.700023   209.898074
84.710023   213.501939
84.720023   213.906632
84.730023   213.980349
84.740023   213.922836
84.750023   213.822233
84.760023   213.480891
84.770023   213.075095
84.780023   212.871293
84.790023   212.546840
84.800023   212.219857
84.810023   211.668806
84.820023   210.632907
84.830023   209.051277
84.840023   207.058773
84.850023   206.073989
84.860023   205.340993
84.870023   205.174138
84.880023   203.904215
84.890023   202.888127
84.900023   201.877216
84.910023   202.168699
84.920023   201.990721
84.930023   201.738587
84.940023   202.618147
84.950023   202.951094
84.960023   202.066138
84.970023   200.172005
84.980023   197.002886
84.990023   194.494987
85.000023   194.179010
85.010023   192.903635
85.020023   191.403249
85.030023   194.249926
85.040023   197.626947
85.050023   198.430871
85.060023   198.541321
85.070023   198.275019
85.080023   197.507753
85.090023   196.953615
85.100023   196.956513
85.110023   197.051097
85.120023   196.586742
85.130023   197.385143
85.140023   197.320904
85.150023   195.397396
85.160023   193.267756
85.170023   190.995508
85.180023   190.260256
85.190023   190.106890
85.200023   191.108057
85.210023   192.229885
85.220023   192.848073
85.230023   192.242021
85.240023   187.725458
85.250023   185.715005
85.260023   182.779466
85.270023   179.560150
85.280023   180.498245
85.290023   181.729000
85.300023   189.423119
85.310023   200.392347
85.320023   209.564989
85.330023   215.984271
85.340023   220.144327
85.350023   220.097321
85.360023   219.623349
85.370023   217.561155
85.380023   215.030872
85.390023   213.970927
85.400023   215.918606
85.410023   224.897466
85.420023   231.773053
85.430023   237.716932
85.440023   242.145206
85.450023   242.242958
85.460023   244.092172
85.470023   246.152980
85.480023   247.799377
85.490023   249.453748
85.500023   250.833726
85.510023   252.948602
85.520023   255.870854
85.530023   257.473437
85.540023   258.500422
85.550023   260.517605
85.560023   261.835989
85.570023   262.039173
85.580023   259.773622
85.590023   258.329717
85.600023   255.837024
85.610023   253.669494
85.620023   251.501592
85.630023   253.822278
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
