Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
195.420023   173.741817
195.430023   169.416084
195.440023   165.996528
195.450023   162.260252
195.460023   164.649057
195.470023   163.456398
195.480023   161.543543
195.490023   160.975062
195.500023   161.141139
195.510023   161.904460
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
195.600023   171.666563
195.610023   174.088856
195.620023   174.005617
195.630023   172.901581
195.640023   172.271290
195.650023   170.404585
195.660023   181.934068
195.670023   180.794073
195.680023   180.922768
195.690023   182.696504
195.700023   183.161291
195.710023   183.698387
195.720023   183.395265
195.730023   180.610471
195.740023   181.125789
195.750023   187.206244
195.760023   188.545036
195.770023   196.222423
195.780023   197.579231
195.790023   196.970686
195.800023   197.610625
195.810023   201.425451
195.820023   204.893834
195.830023   208.651167
195.840023   211.975940
195.850023   213.903511
195.860023   214.849940
195.870023   214.783381
195.880023   213.723527
195.890023   213.942178
195.900023   213.335550
195.910023   211.894462
195.920023   209.930857
195.930023   207.241870
195.940023   201.621746
195.950023   184.017025
195.960023   183.601073
195.970023   178.413358
195.980023   175.041178
195.990023   168.577966
196.000023   162.894019
196.010023   160.856277
196.020023   161.832767
196.030023   158.608857
196.040023   148.216943
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
196.180023   467.433041
196.190023   461.988138
196.200023   464.040729
196.210023   466.178763
196.220023   461.269471
196.230023   461.055089
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
