Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
187.170045   213.001431
187.180045   214.080383
187.190045   217.899696
187.200045   222.227315
187.210045   227.587874
187.220045   227.755820
187.230045   225.493353
187.240045   222.016883
187.250045   224.407584
187.260045   224.476691
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
187.320045   266.371478
187.330045   266.098586
187.340045   266.442255
187.350045   266.696928
187.360045   266.189746
187.370045   265.193960
187.380045   265.029721
187.390045   268.842971
187.400045   271.088002
187.410045   273.854249
187.420045   280.768854
187.430045   288.540739
187.440045   291.032917
187.450045   294.142874
187.460045   297.175327
187.470045   297.990428
187.480045   297.837757
187.490045   300.309030
187.500045   301.686003
187.510045   301.228153
187.520045   298.098163
187.530045   293.803337
187.540045   289.418343
187.550045   286.257257
187.560045   281.562307
187.570045   275.168472
187.580045   268.838530
187.590045   257.938698
187.600045   259.792902
187.610045   257.111891
187.620045   256.543738
187.630045   271.776533
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
187.670045   245.229676
187.680045   242.655230
187.690045   240.707508
187.700045   238.112244
187.710045   235.764209
187.720045   234.601208
187.730045   233.728574
187.740045   232.258470
187.750045   229.918659
187.760045   227.940290
187.770045   223.866762
187.780045   217.322433
187.790045   213.754369
187.800045   210.306503
187.810045   208.705769
187.820045   213.769098
187.830045   219.712321
187.840045   223.496031
187.850045   224.456900
187.860045   225.616068
187.870045   226.276459
187.880045   226.491586
187.890045   227.304095
187.900045   228.378224
187.910045   228.284677
187.920045   226.177931
187.930045   222.819804
187.940045   219.998878
187.950045   217.632266
187.960045   215.274413
187.970045   213.859986
187.980045   211.600368
187.990045   215.948708
188.000045   217.987654
188.010045   218.573509
188.020045   218.687609
188.030045   218.339429
188.040045   217.863168
188.050045   217.400617
188.060045   216.345532
