Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
35.680000   152.788700
35.690000   157.833321
35.700000   160.649456
35.710000   160.580275
35.720000   157.610701
35.730000   152.608156
35.740000   152.938078
35.750000   158.803620
35.760000   164.471211
35.770000   168.509745
35.780000   174.803803
35.790000   172.410935
35.800000   171.612595
35.810000   165.137043
35.820000   164.167321
35.830000   157.778028
35.840000   156.724518
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
36.120000   205.348233
36.130000   207.214010
36.140000   215.730280
36.150000   222.088201
36.160000   228.480167
36.170000   239.646481
36.180000   250.808548
36.190000   254.868315
36.200000   258.828870
36.210000   262.201178
36.220000   265.819352
36.230000   267.787407
36.240000   261.860632
36.250000   259.127703
36.260000   260.359260
36.270000   260.935340
36.280000   260.785275
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
36.350000   271.101316
36.360000   263.334420
36.370000   257.026400
36.380000   253.245042
36.390000   253.020410
36.400000   243.255779
36.410000   249.273784
36.420000   250.472443
36.430000   255.570119
36.440000   255.587211
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
36.540000   195.842664
36.550000   183.816822
36.560000   181.513209
36.570000   180.695352
36.580000   179.977841
36.590000   178.466888
36.600000   177.384316
36.610000   179.649192
36.620000   179.280228
36.630000   176.595462
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
36.720000   166.436791
36.730000   162.897576
36.740000   160.210439
36.750000   160.601107
36.760000   157.834228
36.770000   156.478605
36.780000   153.471396
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
36.860000   151.424717
36.870000   155.455005
36.880000   148.895490
36.890000   150.118051
36.900000   147.167200
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
