Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
48.445329   185.780541
48.455329   186.190745
48.465329   186.302797
48.475329   182.631180
48.485329   188.485853
48.495329   192.223853
48.505329   198.646499
48.515329   201.479217
48.525329   202.403917
48.535329   202.269966
48.545329   201.621471
48.555329   199.628467
48.565329   196.214132
48.575329   189.965569
48.585329   185.635102
48.595329   180.626513
48.605329   178.071744
48.615329   173.787739
48.625329   173.121279
48.635329   172.984443
48.645329   173.162813
48.655329   172.420336
48.665329   180.675751
48.675329   181.511679
48.685329   189.100960
48.695329   199.749079
48.705329   202.182603
48.715329   204.750705
48.725329   205.316017
48.735329   204.519060
48.745329   204.196468
48.755329   203.942867
48.765329   202.287229
48.775329   200.647094
48.785329   199.696442
48.795329   197.652277
48.805329   195.147472
48.815329   192.920386
48.825329   194.868892
48.835329   195.571954
48.845329   193.452885
48.855329   194.701694
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
48.955329   177.292650
48.965329   179.655054
48.975329   180.356228
48.985329   176.989725
48.995329   171.130679
49.005329   162.060201
49.015329   155.787932
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
49.155329   191.157496
49.165329   184.673464
49.175329   192.874484
49.185329   204.483329
49.195329   216.812379
49.205329   229.450370
49.215329   239.802447
49.225329   245.452256
49.235329   249.588579
49.245329   251.393126
49.255329   255.546566
49.265329   262.289120
49.275329   240.852085
49.285329   236.678772
49.295329   233.258271
49.305329   234.671295
49.315329   232.654954
49.325329   240.428010
49.335329   248.597593
49.345329   250.304891
49.355329   247.496037
49.365329   243.417195
49.375329   237.907013
49.385329   226.192573
