Time_s   F0_Hz
--undefined--   --undefined--
0.033129   89.111231
0.043129   88.326495
0.053129   88.064474
0.063129   180.724455
0.073129   183.227142
0.083129   184.025823
0.093129   184.817408
0.103129   185.868126
0.113129   183.642104
0.123129   176.911670
0.133129   184.296814
0.143129   184.360615
0.153129   183.751555
0.163129   185.753351
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.243129   179.995674
0.253129   181.880297
0.263129   195.265545
0.273129   200.215343
0.283129   207.178698
0.293129   213.753120
0.303129   225.963148
0.313129   238.214253
0.323129   250.640620
0.333129   256.711954
0.343129   255.127787
0.353129   243.387885
0.363129   238.965639
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.443129   289.593204
0.453129   277.491598
0.463129   255.962367
0.473129   238.463484
0.483129   229.815455
0.493129   218.392616
0.503129   220.092864
0.513129   219.709218
0.523129   235.638020
0.533129   228.641513
0.543129   218.700114
0.553129   210.354890
0.563129   202.236104
0.573129   216.163157
0.583129   216.765257
0.593129   219.013843
0.603129   227.775559
--undefined--   --undefined--
--undefined--   --undefined--
0.633129   194.694838
0.643129   192.847172
0.653129   188.159353
0.663129   186.543700
0.673129   184.820238
0.683129   183.567105
0.693129   182.053019
0.703129   180.055647
0.713129   179.343982
0.723129   179.268733
0.733129   179.265386
0.743129   180.334700
0.753129   180.807812
0.763129   180.516540
0.773129   180.630501
0.783129   180.751372
0.793129   180.756512
0.803129   181.667200
0.813129   180.425886
0.823129   179.226110
0.833129   177.467509
0.843129   176.151325
0.853129   175.138258
0.863129   174.580317
0.873129   173.753305
0.883129   172.667975
0.893129   172.599864
0.903129   172.320540
0.913129   171.531938
0.923129   170.025978
0.933129   168.659953
0.943129   167.289937
0.953129   165.973638
0.963129   164.086598
0.973129   165.141895
0.983129   166.774331
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.253129   95.781904
1.263129   95.356310
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.303129   84.013633
--undefined--   --undefined--
1.323129   173.551367
1.333129   175.157201
1.343129   176.687278
1.353129   177.448725
1.363129   168.522885
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.423129   175.776008
1.433129   188.922623
1.443129   189.067983
1.453129   193.862334
1.463129   195.296010
1.473129   193.014009
1.483129   189.789937
1.493129   187.727467
1.503129   186.788168
1.513129   186.227952
1.523129   187.370894
1.533129   189.030978
1.543129   190.184823
1.553129   190.835914
1.563129   190.296709
1.573129   186.651902
1.583129   190.014083
1.593129   191.720461
1.603129   189.115726
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.753129   189.127305
1.763129   185.596843
1.773129   184.239338
1.783129   183.335533
1.793129   179.333561
1.803129   175.913260
1.813129   173.787175
1.823129   169.609096
1.833129   172.134524
1.843129   172.661214
1.853129   171.677981
1.863129   170.117773
1.873129   174.221522
1.883129   172.956897
1.893129   167.810303
1.903129   166.651347
1.913129   166.763971
1.923129   166.800341
1.933129   165.649645
1.943129   164.314529
1.953129   163.095245
1.963129   163.032694
1.973129   163.883162
1.983129   163.607235
1.993129   164.059737
2.003129   164.519285
2.013129   163.434134
2.023129   161.232693
2.033129   158.478216
2.043129   156.913562
2.053129   156.868889
2.063129   79.049850
2.073129   80.024698
2.083129   80.689688
2.093129   81.258104
2.103129   81.599660
2.113129   81.023363
2.123129   80.900886
2.133129   80.389956
2.143129   79.068786
2.153129   79.555908
2.163129   82.424912
2.173129   80.714587
2.183129   82.343583
2.193129   84.001222
2.203129   89.663304
2.213129   90.014541
2.223129   86.740504
--undefined--   --undefined--
--undefined--   --undefined--
2.253129   174.798560
2.263129   168.472696
2.273129   166.681361
2.283129   166.211701
2.293129   168.065551
2.303129   173.200466
2.313129   179.538888
2.323129   190.429776
2.333129   203.612452
2.343129   221.549853
2.353129   235.205812
2.363129   244.958826
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
2.503129   264.078970
2.513129   259.053460
2.523129   255.105551
2.533129   249.134112
2.543129   244.335262
2.553129   239.559451
2.563129   233.277097
2.573129   227.808709
2.583129   223.757267
2.593129   219.753085
