Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.054161   220.893982
0.064161   217.016644
0.074161   215.030358
0.084161   214.505258
0.094161   214.387504
0.104161   213.993406
0.114161   212.947209
0.124161   213.755861
0.134161   213.890027
0.144161   215.021366
0.154161   216.170789
0.164161   214.887075
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.204161   267.059223
0.214161   265.481976
0.224161   270.777432
0.234161   277.681994
0.244161   285.488068
0.254161   296.889755
0.264161   305.434865
0.274161   314.635697
0.284161   326.765189
0.294161   334.592089
0.304161   340.869856
0.314161   346.540357
0.324161   350.044343
0.334161   348.390427
0.344161   345.893385
0.354161   348.072338
0.364161   348.891132
0.374161   348.628262
0.384161   346.885125
0.394161   340.589899
0.404161   333.563623
0.414161   323.281956
0.424161   312.140896
0.434161   326.837229
0.444161   339.278256
0.454161   331.817803
0.464161   338.050339
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.514161   285.173060
0.524161   260.991426
0.534161   253.252295
0.544161   244.274897
0.554161   236.281992
0.564161   233.833144
0.574161   233.574713
0.584161   231.958269
0.594161   227.754741
0.604161   219.656165
0.614161   221.132719
0.624161   233.060073
0.634161   236.143588
0.644161   239.958228
0.654161   240.146092
0.664161   238.028317
0.674161   235.843806
0.684161   233.711883
0.694161   232.004635
0.704161   229.616927
0.714161   233.712813
0.724161   234.835804
0.734161   231.728855
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.834161   231.196564
0.844161   222.287773
0.854161   205.790394
0.864161   203.202503
0.874161   211.421236
0.884161   213.832325
0.894161   212.222362
0.904161   210.383161
0.914161   208.922825
0.924161   205.758955
0.934161   202.834172
0.944161   202.102035
0.954161   202.478600
0.964161   204.346899
0.974161   209.072319
0.984161   211.907879
0.994161   208.357468
1.004161   203.623721
1.014161   195.707543
1.024161   198.750059
1.034161   208.551948
1.044161   213.750395
1.054161   229.432401
1.064161   244.576896
1.074161   256.050318
--undefined--   --undefined--
--undefined--   --undefined--
1.104161   303.370778
1.114161   316.959636
1.124161   327.390697
1.134161   334.381104
1.144161   340.251018
1.154161   339.583106
1.164161   341.902066
1.174161   342.779648
1.184161   339.191976
1.194161   331.954355
1.204161   318.597917
1.214161   306.606857
1.224161   292.953468
1.234161   278.034074
1.244161   267.600836
1.254161   258.220116
1.264161   250.188793
1.274161   244.321425
1.284161   237.315042
1.294161   231.596552
1.304161   228.923017
1.314161   225.913315
1.324161   223.469030
1.334161   222.750910
1.344161   222.866944
1.354161   221.952516
1.364161   220.856447
1.374161   217.723273
1.384161   209.756132
1.394161   228.147091
1.404161   227.225173
1.414161   224.327922
--undefined--   --undefined--
--undefined--   --undefined--
