Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.052880   198.879551
0.062880   202.102560
0.072880   202.755005
0.082880   203.200722
0.092880   203.110818
0.102880   202.844235
0.112880   201.738481
0.122880   200.124261
0.132880   199.211518
0.142880   199.700345
0.152880   198.562423
0.162880   196.500250
0.172880   192.670015
0.182880   184.147379
0.192880   175.234928
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.302880   239.944077
0.312880   235.749361
0.322880   235.061132
0.332880   233.898136
0.342880   236.834315
0.352880   234.802854
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.392880   238.592517
0.402880   230.377393
0.412880   227.920677
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.522880   316.573985
0.532880   302.515550
0.542880   273.773348
0.552880   262.815339
0.562880   230.905457
0.572880   249.105171
0.582880   256.725684
0.592880   260.155671
0.602880   259.926899
0.612880   252.179062
0.622880   233.131570
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.702880   351.463565
0.712880   340.121585
0.722880   339.170663
0.732880   342.107461
0.742880   351.073410
0.752880   355.170085
0.762880   357.735029
0.772880   361.433499
0.782880   361.626590
0.792880   344.140452
0.802880   319.657135
0.812880   289.978731
0.822880   289.020828
0.832880   286.974326
0.842880   281.907824
0.852880   277.082454
0.862880   268.272137
0.872880   261.596582
0.882880   252.346261
0.892880   237.722995
0.902880   230.598451
0.912880   224.159062
0.922880   222.610340
0.932880   221.508248
0.942880   227.433940
0.952880   236.811194
0.962880   239.578106
0.972880   242.292008
0.982880   248.850465
0.992880   264.570633
1.002880   260.052371
1.012880   253.628002
1.022880   246.214491
1.032880   247.717825
1.042880   247.990945
1.052880   248.430091
1.062880   248.176579
1.072880   248.501232
1.082880   254.646255
1.092880   254.833779
--undefined--   --undefined--
--undefined--   --undefined--
1.122880   249.534826
1.132880   248.209066
1.142880   242.820818
1.152880   235.399620
1.162880   229.466822
1.172880   224.753826
1.182880   217.896030
1.192880   218.213210
1.202880   217.884331
1.212880   219.449437
1.222880   222.265806
1.232880   226.168692
1.242880   230.314322
1.252880   226.022630
1.262880   221.804554
1.272880   223.878914
1.282880   223.898995
1.292880   227.389842
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.352880   219.975267
1.362880   220.552924
1.372880   217.686287
1.382880   215.509947
1.392880   214.649190
1.402880   215.411152
1.412880   216.325217
1.422880   217.465159
1.432880   220.400976
1.442880   219.866937
1.452880   216.505912
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.502880   246.973886
1.512880   245.326617
1.522880   244.425345
1.532880   243.134911
1.542880   241.287829
1.552880   238.858002
1.562880   236.628949
1.572880   234.219479
1.582880   231.533957
1.592880   229.051333
1.602880   226.212680
1.612880   222.559893
1.622880   221.018300
1.632880   219.455717
1.642880   216.824148
1.652880   213.405117
1.662880   205.878984
1.672880   196.585539
1.682880   186.859048
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.752880   330.842015
1.762880   324.707156
