Time_s   F0_Hz
--undefined--   --undefined--
217.310045   174.938462
217.320045   173.405515
217.330045   171.291045
217.340045   170.069998
217.350045   169.701371
217.360045   169.228822
217.370045   169.071853
217.380045   168.079935
217.390045   166.790991
217.400045   165.775764
217.410045   163.472901
217.420045   161.173406
217.430045   159.333113
217.440045   156.505550
217.450045   151.689504
217.460045   149.179391
217.470045   148.309811
217.480045   149.254375
217.490045   152.777158
217.500045   157.174125
217.510045   159.148702
217.520045   160.712710
217.530045   160.643712
217.540045   159.266293
217.550045   158.478093
217.560045   157.908552
217.570045   157.759751
217.580045   160.614316
217.590045   165.244713
217.600045   170.226465
217.610045   174.416005
217.620045   177.125600
217.630045   178.596305
217.640045   179.915437
217.650045   181.308092
217.660045   183.116557
217.670045   183.296856
217.680045   180.127774
217.690045   180.356926
217.700045   183.265837
217.710045   185.781985
217.720045   187.050148
217.730045   186.577801
217.740045   185.017209
217.750045   182.974722
217.760045   183.700225
217.770045   182.541053
--undefined--   --undefined--
217.790045   76.470309
217.800045   75.608892
217.810045   93.118693
217.820045   75.870093
217.830045   154.331057
217.840045   155.579354
217.850045   157.290051
217.860045   158.987905
217.870045   158.847371
217.880045   158.091271
217.890045   156.954689
217.900045   155.365905
217.910045   151.946559
217.920045   149.573760
217.930045   152.414040
217.940045   154.553853
217.950045   157.222741
217.960045   161.915293
217.970045   166.693714
217.980045   171.094548
217.990045   177.162793
218.000045   191.697631
218.010045   199.325527
218.020045   206.722753
218.030045   232.510884
218.040045   230.781484
218.050045   226.826570
218.060045   238.719007
218.070045   271.507060
218.080045   284.790636
218.090045   290.501242
218.100045   292.281119
218.110045   291.539899
218.120045   286.246306
218.130045   278.340139
218.140045   267.736010
218.150045   255.864699
218.160045   251.522579
218.170045   233.994047
218.180045   228.589034
218.190045   226.457119
218.200045   220.530077
218.210045   214.322200
218.220045   209.347442
218.230045   196.346333
218.240045   194.699761
218.250045   192.955442
218.260045   191.664041
218.270045   189.700417
218.280045   189.290957
218.290045   190.905259
218.300045   191.084422
218.310045   192.066862
218.320045   192.757151
218.330045   187.678063
218.340045   185.365650
218.350045   187.982324
218.360045   192.260130
218.370045   188.213341
218.380045   189.199895
218.390045   188.754231
218.400045   190.724201
218.410045   190.548392
218.420045   192.108673
218.430045   196.158557
218.440045   190.423329
218.450045   188.148420
218.460045   186.022424
218.470045   183.825880
218.480045   182.815493
218.490045   182.640669
218.500045   180.505105
218.510045   179.448987
218.520045   182.126379
218.530045   183.120908
218.540045   184.850861
218.550045   186.553282
218.560045   186.705637
218.570045   184.108266
218.580045   184.239153
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
218.680045   198.317488
218.690045   195.459947
218.700045   193.145477
218.710045   189.078277
218.720045   186.392470
218.730045   181.703008
218.740045   180.455164
218.750045   180.640652
218.760045   181.300742
218.770045   178.922906
218.780045   173.255656
218.790045   166.827488
218.800045   161.228850
218.810045   160.864399
218.820045   159.952671
218.830045   159.198357
218.840045   157.988890
218.850045   156.544531
218.860045   154.652312
218.870045   152.463120
218.880045   152.407493
218.890045   151.339175
218.900045   152.874300
218.910045   154.412439
218.920045   154.270681
218.930045   153.588831
218.940045   149.993072
218.950045   150.063245
218.960045   162.372752
218.970045   157.856812
218.980045   155.397521
218.990045   153.138273
219.000045   154.388338
219.010045   154.597320
219.020045   154.672004
219.030045   154.620445
219.040045   154.270011
219.050045   153.498969
219.060045   152.943335
219.070045   152.599750
219.080045   154.282200
219.090045   168.797333
219.100045   178.596037
219.110045   185.952581
219.120045   192.522554
219.130045   199.804221
219.140045   211.094658
219.150045   219.929763
219.160045   229.430253
219.170045   230.748725
219.180045   255.075249
219.190045   260.436785
219.200045   267.603968
219.210045   271.846357
219.220045   278.655852
219.230045   287.577593
219.240045   294.668466
219.250045   296.190522
219.260045   298.439022
219.270045   291.424104
219.280045   286.293205
219.290045   284.607705
219.300045   277.560093
219.310045   253.975337
219.320045   272.818545
219.330045   269.537719
219.340045   264.515418
219.350045   261.567722
219.360045   268.983808
219.370045   269.566839
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
219.420045   188.413735
219.430045   185.944476
219.440045   176.841458
219.450045   170.529722
219.460045   169.903012
219.470045   170.407626
219.480045   170.568024
219.490045   171.197524
219.500045   170.822657
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
219.620045   183.570578
219.630045   180.144753
219.640045   175.864156
219.650045   172.354892
219.660045   170.122902
219.670045   170.516152
219.680045   171.484348
219.690045   170.552933
219.700045   169.205982
219.710045   169.055823
219.720045   168.771797
