Time_s   F0_Hz
--undefined--   --undefined--
159.795692   183.970691
159.805692   176.040556
159.815692   178.521491
159.825692   179.845451
159.835692   177.524617
159.845692   168.398840
159.855692   167.480138
159.865692   171.725672
159.875692   172.220720
159.885692   170.449046
159.895692   172.285570
159.905692   174.662434
159.915692   178.046300
159.925692   180.535589
159.935692   182.450207
159.945692   184.920103
159.955692   186.620944
159.965692   188.459701
159.975692   190.829880
159.985692   196.361147
159.995692   199.230258
160.005692   200.617625
160.015692   195.500275
160.025692   193.868096
160.035692   194.694375
160.045692   197.452116
160.055692   195.687116
160.065692   190.920351
160.075692   191.474535
160.085692   191.723198
160.095692   209.037995
160.105692   203.368354
160.115692   200.088787
160.125692   196.928051
160.135692   193.170207
160.145692   189.774551
160.155692   189.558807
160.165692   193.860911
160.175692   195.195928
160.185692   194.675034
160.195692   185.592669
160.205692   185.101980
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
160.265692   151.927922
160.275692   149.517098
160.285692   150.214642
160.295692   150.378380
160.305692   150.059516
160.315692   147.455728
160.325692   146.192262
160.335692   144.799929
160.345692   142.651547
160.355692   141.337480
160.365692   140.006290
160.375692   139.708524
160.385692   139.053472
160.395692   136.688604
160.405692   132.329003
160.415692   132.687899
160.425692   133.008662
160.435692   132.941409
160.445692   133.110553
160.455692   131.596551
160.465692   128.991121
160.475692   128.004359
160.485692   128.387015
160.495692   128.921869
160.505692   131.020798
160.515692   132.561744
160.525692   133.790852
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
160.565692   155.766489
160.575692   160.232151
160.585692   164.596965
160.595692   173.344712
160.605692   181.799135
160.615692   181.254895
160.625692   181.665593
160.635692   182.244129
160.645692   181.136238
160.655692   190.757049
160.665692   202.601427
160.675692   195.279408
160.685692   191.701854
160.695692   188.806429
160.705692   183.262382
160.715692   181.945981
160.725692   181.401809
160.735692   182.505549
160.745692   189.266631
160.755692   188.798815
160.765692   189.604978
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
160.855692   186.685352
160.865692   182.898831
160.875692   169.866084
160.885692   180.400796
160.895692   181.884554
160.905692   180.952550
160.915692   183.202437
160.925692   185.943400
160.935692   186.214077
160.945692   186.690850
160.955692   186.599045
160.965692   186.484363
160.975692   186.171838
160.985692   185.662295
160.995692   185.634583
161.005692   186.812355
161.015692   186.749522
161.025692   186.885530
161.035692   187.410738
161.045692   186.967161
161.055692   186.233707
161.065692   180.455871
161.075692   199.168334
161.085692   188.966759
161.095692   186.086184
161.105692   185.407117
161.115692   186.551226
161.125692   185.536344
161.135692   183.619429
161.145692   175.377873
161.155692   175.563689
161.165692   175.659998
161.175692   168.324185
161.185692   163.530402
161.195692   158.443160
161.205692   161.328842
161.215692   165.767665
161.225692   170.397340
161.235692   172.161223
161.245692   172.642282
161.255692   176.611030
161.265692   177.350685
161.275692   177.116467
161.285692   176.347610
161.295692   175.907157
161.305692   176.201147
161.315692   174.899692
161.325692   172.355537
161.335692   169.131863
161.345692   166.256117
161.355692   164.405467
161.365692   161.996797
161.375692   160.430030
161.385692   159.314069
161.395692   158.498017
161.405692   156.790747
161.415692   155.810424
161.425692   155.825009
161.435692   156.049463
161.445692   155.020044
161.455692   151.964717
161.465692   150.476081
161.475692   151.589773
161.485692   165.306021
161.495692   159.282498
161.505692   159.163970
161.515692   158.259220
161.525692   156.545671
161.535692   155.331429
161.545692   154.682622
161.555692   155.136741
161.565692   155.327594
161.575692   154.949017
161.585692   154.521975
161.595692   153.193561
161.605692   152.131113
161.615692   151.608219
161.625692   150.787895
161.635692   148.827451
161.645692   148.569235
161.655692   150.477829
161.665692   150.852741
161.675692   151.522757
161.685692   150.869324
--undefined--   --undefined--
161.705692   188.517974
161.715692   181.936889
161.725692   175.954539
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
161.905692   192.404423
161.915692   195.487603
161.925692   199.326774
161.935692   204.401853
161.945692   209.829770
161.955692   216.261371
161.965692   225.214085
161.975692   229.038078
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
162.015692   268.260100
162.025692   272.991226
162.035692   276.659837
162.045692   275.258054
162.055692   271.598382
162.065692   270.246554
162.075692   263.419841
162.085692   263.192238
162.095692   231.951504
162.105692   224.007378
162.115692   215.448208
162.125692   205.391574
162.135692   206.081142
162.145692   203.241429
162.155692   176.782064
162.165692   173.732043
162.175692   171.694921
162.185692   166.687318
162.195692   163.956265
162.205692   161.835615
162.215692   159.580393
162.225692   157.479079
162.235692   156.572083
162.245692   157.587630
162.255692   158.968107
162.265692   159.640244
162.275692   158.118734
162.285692   158.966042
162.295692   158.851303
162.305692   160.839961
162.315692   161.008068
162.325692   162.181969
162.335692   162.418215
162.345692   162.259315
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
162.445692   159.983721
162.455692   159.019578
162.465692   157.766192
162.475692   157.961010
162.485692   156.655826
162.495692   160.958491
162.505692   160.681833
162.515692   163.567120
162.525692   165.426986
162.535692   167.592484
162.545692   171.133091
162.555692   174.911884
162.565692   178.828961
162.575692   182.256529
162.585692   184.422391
162.595692   189.655968
162.605692   191.831556
162.615692   193.427249
162.625692   196.391925
162.635692   201.917997
162.645692   203.582032
162.655692   204.061956
162.665692   203.952770
162.675692   203.399022
162.685692   202.162977
162.695692   200.611224
162.705692   198.962685
162.715692   197.087488
162.725692   194.017580
162.735692   192.516916
162.745692   192.152476
162.755692   190.448659
162.765692   188.167165
162.775692   186.918050
162.785692   185.935560
162.795692   185.456385
162.805692   185.004388
162.815692   184.303893
162.825692   183.147777
162.835692   182.262344
162.845692   181.230864
162.855692   180.703767
162.865692   180.712328
162.875692   180.707965
162.885692   180.653086
162.895692   180.719384
162.905692   181.179589
162.915692   181.430061
162.925692   181.389392
162.935692   181.585519
162.945692   181.440197
--undefined--   --undefined--
--undefined--   --undefined--
