Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1155.207778   171.531137
1155.217778   167.510919
1155.227778   167.542694
1155.237778   167.754098
1155.247778   167.675586
1155.257778   167.688273
1155.267778   167.319397
1155.277778   166.420884
1155.287778   165.594399
1155.297778   165.549595
1155.307778   166.357231
1155.317778   166.495016
1155.327778   166.361559
1155.337778   164.748360
1155.347778   165.641800
1155.357778   165.940471
1155.367778   166.370618
1155.377778   167.337486
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1155.437778   175.887804
1155.447778   170.725724
1155.457778   164.850037
1155.467778   166.428153
1155.477778   167.144676
1155.487778   163.997606
1155.497778   163.067274
1155.507778   167.875991
1155.517778   179.317247
1155.527778   178.998629
1155.537778   174.368677
1155.547778   170.715766
1155.557778   162.999480
1155.567778   161.495778
1155.577778   156.843004
1155.587778   154.666950
1155.597778   162.886868
1155.607778   163.193104
1155.617778   162.402444
1155.627778   162.911500
1155.637778   164.173048
1155.647778   162.162168
1155.657778   159.901483
1155.667778   156.763802
1155.677778   156.043160
1155.687778   155.705572
1155.697778   156.587485
1155.707778   155.299823
1155.717778   154.291628
1155.727778   158.293012
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1155.907778   216.582663
1155.917778   223.318786
1155.927778   204.121288
1155.937778   207.094311
1155.947778   212.465009
--undefined--   --undefined--
--undefined--   --undefined--
1155.977778   150.722807
1155.987778   165.818009
1155.997778   166.370324
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1156.117778   164.254040
1156.127778   158.307645
1156.137778   154.161869
1156.147778   152.224834
1156.157778   151.768415
1156.167778   150.415262
1156.177778   149.847908
1156.187778   148.215555
1156.197778   146.150468
1156.207778   145.485635
1156.217778   144.331808
1156.227778   143.722531
1156.237778   144.680885
1156.247778   146.085676
1156.257778   146.781105
1156.267778   148.408960
1156.277778   152.579009
1156.287778   152.538829
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
