Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
318.540045   129.504300
318.550045   129.070487
318.560045   80.930627
--undefined--   --undefined--
318.580045   114.134456
318.590045   106.781767
318.600045   126.212381
318.610045   115.887918
318.620045   115.744963
318.630045   116.895091
318.640045   117.747286
318.650045   117.521094
318.660045   116.943489
318.670045   117.404891
318.680045   117.446071
318.690045   117.736862
318.700045   117.638399
318.710045   117.156165
318.720045   117.712077
318.730045   116.582013
318.740045   115.037375
318.750045   114.101697
318.760045   114.668787
318.770045   114.192082
318.780045   116.288285
318.790045   116.665124
318.800045   116.377123
318.810045   116.096533
318.820045   115.488062
318.830045   115.980874
318.840045   116.687339
318.850045   117.979179
318.860045   107.771006
318.870045   110.557941
318.880045   108.381837
318.890045   108.850095
318.900045   112.088315
318.910045   115.269823
318.920045   104.166830
318.930045   108.429090
318.940045   104.927993
318.950045   103.959393
--undefined--   --undefined--
318.970045   145.404233
318.980045   132.370498
318.990045   116.598424
319.000045   108.848476
319.010045   109.708176
319.020045   109.766268
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
319.290045   108.537073
319.300045   113.069179
319.310045   115.608010
319.320045   115.115148
319.330045   115.261691
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
319.410045   159.213433
319.420045   159.552764
319.430045   119.731045
319.440045   120.946318
319.450045   121.722115
319.460045   119.233943
319.470045   119.055863
