Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
301.440091   122.290963
301.450091   124.311362
301.460091   124.676877
301.470091   124.361609
301.480091   124.684488
301.490091   125.425936
301.500091   126.497410
301.510091   127.744374
301.520091   128.003655
301.530091   127.554832
301.540091   126.889292
301.550091   125.949024
301.560091   124.034778
301.570091   121.436279
301.580091   119.774490
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
301.730091   147.286310
301.740091   143.640324
301.750091   143.627300
301.760091   145.314010
301.770091   147.645053
301.780091   150.273507
301.790091   154.037854
301.800091   158.453151
301.810091   163.792788
301.820091   170.151432
301.830091   174.200502
301.840091   180.310971
301.850091   196.945363
301.860091   202.932506
301.870091   207.795768
301.880091   215.340935
301.890091   218.470154
301.900091   221.077138
301.910091   227.755926
301.920091   236.395227
301.930091   242.529036
301.940091   242.842575
301.950091   241.089077
301.960091   237.357763
301.970091   232.798586
301.980091   229.548063
301.990091   226.719301
302.000091   220.293442
302.010091   213.921951
302.020091   206.691711
302.030091   199.973336
302.040091   189.014506
302.050091   183.017991
302.060091   178.078875
302.070091   172.384731
302.080091   166.792128
302.090091   161.674384
302.100091   158.381165
302.110091   154.115320
302.120091   152.373377
302.130091   151.070585
302.140091   148.302469
302.150091   146.073176
302.160091   143.229326
302.170091   140.602203
302.180091   137.747249
302.190091   135.789329
302.200091   135.259904
302.210091   134.116260
302.220091   131.318202
302.230091   114.878512
302.240091   115.001709
302.250091   116.858718
302.260091   117.733882
302.270091   124.327016
302.280091   126.255386
302.290091   127.973978
302.300091   128.563843
302.310091   128.294494
302.320091   127.612709
302.330091   126.793212
302.340091   126.015984
302.350091   125.902953
302.360091   125.923540
302.370091   126.117727
302.380091   126.248488
302.390091   125.923144
302.400091   125.916814
302.410091   125.823963
302.420091   125.463268
302.430091   125.145342
302.440091   124.358090
302.450091   123.148547
