Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
126.820023   158.862137
126.830023   162.646381
126.840023   166.515267
126.850023   166.208399
126.860023   162.608922
126.870023   158.022588
126.880023   151.792798
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
126.980023   133.463520
126.990023   130.695392
127.000023   129.252685
127.010023   131.148534
127.020023   132.829172
127.030023   133.723390
127.040023   132.588362
127.050023   129.795832
127.060023   127.619823
127.070023   127.364474
127.080023   125.056326
127.090023   130.448905
127.100023   130.559293
127.110023   127.553191
127.120023   123.550114
127.130023   116.002484
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
127.250023   98.750711
127.260023   99.609524
127.270023   101.475904
127.280023   98.480389
127.290023   96.329467
127.300023   95.393963
127.310023   96.591526
127.320023   99.683264
127.330023   100.232779
127.340023   103.068292
127.350023   102.028547
127.360023   101.242604
127.370023   100.921174
127.380023   100.430376
127.390023   100.180504
127.400023   99.671916
127.410023   99.807692
127.420023   98.893342
127.430023   97.202318
127.440023   96.226691
127.450023   96.403381
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
127.510023   108.285789
127.520023   109.176331
127.530023   112.354915
127.540023   114.051383
127.550023   115.603264
127.560023   116.970331
127.570023   118.468885
127.580023   118.505320
127.590023   117.993190
127.600023   116.576071
127.610023   114.488699
127.620023   112.194923
127.630023   109.546657
127.640023   107.440466
127.650023   103.830346
127.660023   100.692716
127.670023   98.161076
127.680023   95.868861
127.690023   95.673220
127.700023   94.190753
127.710023   92.738509
127.720023   91.213517
127.730023   88.420030
127.740023   85.941257
127.750023   89.939418
127.760023   90.247316
127.770023   90.597667
127.780023   90.771593
127.790023   89.781054
127.800023   89.483019
127.810023   90.868696
127.820023   88.323983
127.830023   87.780028
127.840023   90.682230
127.850023   90.620553
127.860023   90.520750
127.870023   90.644635
127.880023   92.174536
127.890023   95.362380
--undefined--   --undefined--
--undefined--   --undefined--
127.920023   104.955927
127.930023   107.815366
127.940023   106.068933
127.950023   104.912562
127.960023   103.937043
127.970023   102.495360
127.980023   100.718130
127.990023   98.219034
128.000023   97.800816
128.010023   101.739174
128.020023   102.452141
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
