Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
109.370023   123.848270
109.380023   123.776586
109.390023   89.982418
109.400023   104.033677
109.410023   101.460533
109.420023   99.175129
109.430023   99.568536
109.440023   103.079864
109.450023   105.106355
109.460023   107.260392
109.470023   110.927468
109.480023   113.766068
109.490023   115.098209
109.500023   116.749494
109.510023   114.985335
109.520023   106.643570
109.530023   114.260675
109.540023   114.685860
109.550023   114.820208
109.560023   115.246804
109.570023   115.877780
109.580023   116.871846
109.590023   118.713468
109.600023   118.421034
109.610023   120.052545
109.620023   122.938967
109.630023   112.411980
109.640023   113.372465
109.650023   110.794275
109.660023   108.743232
109.670023   105.283446
109.680023   101.225959
109.690023   98.115556
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
109.750023   115.008029
109.760023   114.825786
109.770023   113.106931
109.780023   110.288748
109.790023   111.992238
109.800023   111.963845
109.810023   111.390411
109.820023   111.121973
109.830023   112.074566
109.840023   109.935242
109.850023   108.568231
109.860023   108.239355
109.870023   108.307039
109.880023   106.875180
109.890023   106.488186
109.900023   105.199157
109.910023   103.763028
109.920023   103.319220
109.930023   102.592910
109.940023   99.420294
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
110.060023   176.485842
110.070023   171.135769
110.080023   170.557759
110.090023   172.103829
110.100023   172.079606
110.110023   169.190493
110.120023   157.476707
110.130023   167.601272
110.140023   171.944541
110.150023   172.839310
110.160023   173.978224
110.170023   175.919366
110.180023   172.421449
110.190023   159.031386
110.200023   163.519243
110.210023   166.660710
110.220023   150.032267
110.230023   138.882313
110.240023   144.371168
110.250023   131.703687
110.260023   124.548937
110.270023   123.172333
110.280023   94.655740
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
110.370023   130.483246
110.380023   120.740419
110.390023   117.517999
110.400023   115.652020
--undefined--   --undefined--
--undefined--   --undefined--
110.430023   116.911950
110.440023   117.770205
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
110.510023   138.212846
110.520023   127.160853
110.530023   125.299638
110.540023   127.090481
110.550023   125.430395
110.560023   123.496863
110.570023   122.870673
110.580023   121.666893
110.590023   119.987912
110.600023   119.297063
110.610023   117.887116
110.620023   116.099446
110.630023   113.936726
110.640023   113.066048
110.650023   112.985738
110.660023   111.961805
110.670023   110.054032
110.680023   107.306436
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
110.810023   111.940298
110.820023   109.924296
110.830023   104.213038
110.840023   100.047821
110.850023   99.139780
110.860023   99.262589
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
