Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
114.810023   121.914950
114.820023   120.466755
114.830023   116.855466
114.840023   117.312314
114.850023   119.454283
114.860023   120.983877
114.870023   121.761615
114.880023   122.002898
114.890023   120.927782
114.900023   119.046945
114.910023   116.704251
114.920023   117.238238
114.930023   120.326861
114.940023   120.632715
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
115.010023   123.095179
115.020023   120.330197
115.030023   111.413985
115.040023   107.884660
115.050023   103.882079
115.060023   105.033983
115.070023   105.005454
115.080023   104.520324
115.090023   104.432810
115.100023   104.054861
115.110023   104.833958
115.120023   105.159485
115.130023   106.222042
115.140023   106.619194
115.150023   105.687107
115.160023   105.811782
115.170023   107.774239
115.180023   111.753643
115.190023   113.575593
115.200023   116.934251
115.210023   121.496160
115.220023   126.798935
115.230023   130.724114
115.240023   136.334029
115.250023   138.479001
115.260023   140.909664
115.270023   144.199806
115.280023   146.500059
115.290023   147.766748
115.300023   145.813089
115.310023   145.711308
115.320023   153.694937
115.330023   153.126537
115.340023   151.277236
115.350023   148.853215
115.360023   146.307218
115.370023   144.362769
115.380023   141.732335
115.390023   139.594956
115.400023   136.368764
115.410023   133.065079
115.420023   128.822714
115.430023   118.441118
115.440023   126.492893
115.450023   119.952635
115.460023   114.371156
115.470023   117.650572
115.480023   111.986092
115.490023   109.817956
115.500023   113.162729
115.510023   116.846683
115.520023   114.241416
115.530023   115.287987
115.540023   115.572717
115.550023   115.210654
115.560023   114.818464
115.570023   114.577909
115.580023   113.756241
115.590023   112.923834
115.600023   111.895380
115.610023   111.034843
115.620023   109.070503
115.630023   107.799279
115.640023   106.601924
115.650023   105.792218
115.660023   104.329739
115.670023   104.123162
115.680023   102.937902
115.690023   102.537245
115.700023   103.343083
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
