Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
150.900000   120.910435
150.910000   110.473904
150.920000   105.216267
150.930000   106.403316
150.940000   99.632094
150.950000   102.599865
150.960000   100.534709
150.970000   100.067890
150.980000   99.248385
150.990000   99.694090
151.000000   100.042808
151.010000   100.012344
151.020000   100.382880
151.030000   99.309369
--undefined--   --undefined--
151.050000   108.197714
151.060000   112.292360
151.070000   117.059589
151.080000   118.992597
151.090000   121.785125
151.100000   122.527482
151.110000   122.321114
151.120000   121.612197
151.130000   119.850556
151.140000   117.553624
151.150000   117.568437
151.160000   117.290111
151.170000   116.248356
151.180000   116.171993
151.190000   116.249476
151.200000   115.317204
151.210000   114.741889
151.220000   115.267311
151.230000   114.698391
151.240000   114.482682
151.250000   114.573197
151.260000   113.996886
151.270000   112.807324
151.280000   110.958652
151.290000   109.315003
151.300000   106.382686
151.310000   105.431072
151.320000   103.763712
151.330000   101.880973
151.340000   102.192023
151.350000   102.362428
151.360000   103.331948
151.370000   105.605624
151.380000   108.724578
151.390000   112.558281
151.400000   115.583971
151.410000   117.859267
151.420000   119.399459
151.430000   119.400748
151.440000   119.292839
151.450000   118.737708
151.460000   118.491869
151.470000   117.670295
151.480000   117.384496
151.490000   117.036139
151.500000   116.069114
151.510000   114.548523
151.520000   112.233045
151.530000   109.729724
151.540000   107.602385
151.550000   108.403423
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
151.670000   119.181624
151.680000   110.164207
151.690000   106.272335
151.700000   105.640727
151.710000   103.314804
151.720000   102.750688
151.730000   98.586622
151.740000   97.690983
151.750000   98.142678
151.760000   98.529716
151.770000   98.146893
151.780000   102.082184
151.790000   110.683561
151.800000   114.193150
151.810000   117.127639
151.820000   118.816663
151.830000   119.444714
151.840000   119.910589
151.850000   118.690889
151.860000   116.581176
151.870000   115.592473
151.880000   112.894960
151.890000   110.497616
151.900000   108.835993
151.910000   107.414689
151.920000   106.348952
151.930000   106.516352
151.940000   104.953628
151.950000   100.266738
151.960000   102.894488
151.970000   105.206024
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
152.080000   113.810466
152.090000   111.444711
152.100000   110.970138
152.110000   111.036769
152.120000   110.532230
152.130000   109.918400
152.140000   109.850378
152.150000   109.093368
152.160000   109.188545
152.170000   111.916220
152.180000   112.177308
152.190000   113.725433
152.200000   116.430206
152.210000   119.694853
152.220000   124.652413
152.230000   128.173355
152.240000   129.817054
152.250000   132.437496
152.260000   137.950222
152.270000   142.077902
152.280000   146.952224
152.290000   152.969017
152.300000   156.840811
152.310000   160.876733
152.320000   165.161211
152.330000   171.455459
152.340000   175.905874
152.350000   178.125508
152.360000   181.719634
152.370000   181.813049
152.380000   179.780322
152.390000   177.797040
152.400000   176.555775
152.410000   176.868317
152.420000   176.670416
152.430000   175.556112
152.440000   174.173994
152.450000   172.431174
152.460000   170.490791
152.470000   170.108055
152.480000   171.863432
152.490000   171.150413
152.500000   169.957579
152.510000   169.654882
152.520000   169.141303
152.530000   168.478135
152.540000   167.414727
152.550000   165.891649
152.560000   164.104004
152.570000   162.352407
152.580000   160.938848
152.590000   160.000565
152.600000   157.789586
152.610000   153.593494
152.620000   152.857734
152.630000   154.464259
152.640000   156.157801
152.650000   157.734242
