Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
424.341361   128.173862
424.351361   112.572810
424.361361   112.110674
424.371361   111.128308
424.381361   107.785811
424.391361   108.966545
424.401361   110.610634
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
424.491361   145.187625
424.501361   137.596584
424.511361   135.894778
424.521361   134.763777
424.531361   134.653084
424.541361   133.714687
424.551361   132.608081
424.561361   131.187246
424.571361   128.319777
424.581361   123.680401
424.591361   122.766213
424.601361   120.124812
424.611361   117.109473
424.621361   114.692565
424.631361   112.418314
424.641361   114.618771
424.651361   116.378043
424.661361   117.104345
424.671361   117.477593
424.681361   119.623336
424.691361   121.337825
424.701361   121.429980
424.711361   121.401411
424.721361   121.850708
424.731361   122.799437
424.741361   123.022061
424.751361   123.387197
424.761361   124.914871
424.771361   127.397071
424.781361   128.631477
424.791361   129.196245
424.801361   129.730759
424.811361   130.467097
424.821361   132.219721
424.831361   134.187432
424.841361   134.888501
424.851361   134.271969
424.861361   133.177402
424.871361   131.255201
424.881361   129.119565
424.891361   127.943679
424.901361   129.668568
424.911361   130.847611
424.921361   132.552154
424.931361   132.618022
424.941361   132.727584
424.951361   137.335904
424.961361   138.843756
424.971361   139.285413
424.981361   138.595825
424.991361   137.462294
425.001361   136.052241
425.011361   134.946835
425.021361   133.342867
425.031361   132.807728
425.041361   132.410114
425.051361   131.639399
425.061361   130.676347
425.071361   129.619182
425.081361   128.059991
425.091361   126.526420
425.101361   125.312037
425.111361   124.148403
425.121361   122.766401
425.131361   120.663979
425.141361   116.286922
425.151361   115.049925
425.161361   121.479856
425.171361   121.684960
425.181361   121.395279
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
425.241361   125.619993
425.251361   124.044971
425.261361   122.069902
425.271361   120.582972
425.281361   119.591841
425.291361   119.802343
425.301361   122.258788
425.311361   122.915857
425.321361   123.583532
425.331361   123.585946
425.341361   123.851440
425.351361   124.291238
425.361361   127.267567
425.371361   126.937096
425.381361   127.837554
425.391361   128.018968
425.401361   127.865935
425.411361   127.412495
425.421361   126.592771
425.431361   126.182943
425.441361   125.739938
425.451361   125.108964
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
425.631361   122.464193
425.641361   113.937679
425.651361   108.591088
425.661361   106.860306
425.671361   105.254763
425.681361   103.579347
425.691361   102.350015
425.701361   101.825925
425.711361   101.186171
425.721361   100.370224
425.731361   99.797192
425.741361   99.282010
425.751361   98.962489
425.761361   100.289436
425.771361   100.994859
425.781361   101.855338
425.791361   101.659034
425.801361   100.926525
425.811361   100.129731
425.821361   98.826530
425.831361   97.963316
425.841361   96.805792
425.851361   96.190911
425.861361   95.506538
425.871361   92.790233
425.881361   80.950575
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
425.991361   102.022072
426.001361   92.706058
426.011361   92.398555
426.021361   92.286620
426.031361   92.498623
426.041361   91.637999
426.051361   91.316635
426.061361   91.701039
426.071361   91.292104
426.081361   89.855314
426.091361   87.878474
426.101361   87.384509
426.111361   89.829275
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
