Time_s   F0_Hz
--undefined--   --undefined--
355.302698   110.743532
355.312698   116.491105
355.322698   119.535939
355.332698   131.179879
355.342698   137.327824
355.352698   148.626053
355.362698   168.169167
355.372698   178.203754
355.382698   193.920931
355.392698   201.998896
355.402698   216.676543
355.412698   225.340528
355.422698   231.872913
355.432698   235.355751
355.442698   239.325130
355.452698   241.624882
355.462698   241.930936
355.472698   239.670542
355.482698   235.335461
355.492698   229.130757
355.502698   214.833134
355.512698   202.656905
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
355.612698   190.244887
355.622698   191.100548
355.632698   188.696536
355.642698   185.398712
355.652698   189.095522
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
355.722698   110.281076
355.732698   113.054365
355.742698   115.555748
355.752698   117.409965
--undefined--   --undefined--
--undefined--   --undefined--
355.782698   157.561164
355.792698   170.410445
355.802698   187.713217
355.812698   189.120171
355.822698   186.000891
355.832698   189.126271
355.842698   187.040538
355.852698   187.035627
355.862698   190.173932
355.872698   245.617324
355.882698   239.534470
355.892698   234.557814
355.902698   227.457910
355.912698   219.416393
355.922698   213.632177
355.932698   210.626583
355.942698   212.058674
355.952698   216.631796
355.962698   213.643641
355.972698   213.311569
355.982698   215.357265
355.992698   218.063963
356.002698   216.788093
356.012698   213.514241
356.022698   212.327325
356.032698   213.458539
356.042698   213.693139
356.052698   212.923132
356.062698   211.766403
356.072698   210.548074
356.082698   208.939927
356.092698   208.123396
356.102698   206.870767
356.112698   205.071640
356.122698   205.011245
356.132698   206.634465
356.142698   207.378215
356.152698   206.492695
356.162698   206.043194
356.172698   205.898878
356.182698   204.586806
356.192698   202.073783
356.202698   199.180234
356.212698   195.348039
356.222698   190.324290
356.232698   184.904144
356.242698   179.375045
356.252698   169.540676
356.262698   166.822407
356.272698   158.180468
356.282698   157.032962
356.292698   161.408885
356.302698   162.385356
356.312698   147.854512
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
356.382698   198.869081
356.392698   197.602499
356.402698   204.821261
356.412698   204.676912
356.422698   203.877441
356.432698   202.403292
356.442698   199.901811
356.452698   182.896121
356.462698   169.631341
356.472698   166.968522
356.482698   151.762295
356.492698   146.559671
356.502698   150.377202
356.512698   159.085508
356.522698   160.816144
356.532698   160.732767
356.542698   161.284823
356.552698   167.822255
356.562698   165.246156
356.572698   164.471551
356.582698   163.496939
356.592698   165.439572
356.602698   169.257169
356.612698   175.148331
356.622698   179.621983
356.632698   183.618099
356.642698   185.410601
356.652698   185.105515
356.662698   184.904659
356.672698   184.579709
356.682698   183.431115
356.692698   182.365110
356.702698   184.083959
356.712698   188.751525
356.722698   192.808978
356.732698   195.187415
356.742698   196.020967
356.752698   197.573640
356.762698   201.675844
356.772698   202.676134
356.782698   202.384496
356.792698   201.651433
356.802698   200.547164
356.812698   198.813593
356.822698   196.756482
356.832698   194.732829
356.842698   192.290174
356.852698   188.020894
356.862698   184.436291
356.872698   180.485262
356.882698   176.258540
356.892698   169.933625
356.902698   169.834362
356.912698   162.490668
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
356.952698   177.293506
356.962698   174.703458
356.972698   165.812509
356.982698   163.371796
356.992698   160.716634
357.002698   154.526114
357.012698   148.998198
357.022698   146.166794
357.032698   151.854197
357.042698   151.532934
357.052698   160.610392
357.062698   169.410115
357.072698   165.899318
357.082698   163.016973
357.092698   161.810874
357.102698   154.827125
357.112698   157.465697
357.122698   151.442628
357.132698   152.201691
357.142698   153.421803
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
357.202698   189.283107
357.212698   192.178453
357.222698   193.748760
357.232698   197.706559
357.242698   190.706580
357.252698   184.810736
357.262698   180.840368
357.272698   169.486928
357.282698   168.285171
357.292698   163.350383
357.302698   155.112148
357.312698   149.812613
357.322698   139.915797
357.332698   135.809867
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
357.532698   126.771398
357.542698   131.527009
357.552698   132.113261
357.562698   132.491853
357.572698   132.692652
357.582698   132.378241
357.592698   132.799838
357.602698   133.034882
357.612698   132.824627
357.622698   131.599379
357.632698   130.366978
357.642698   128.598431
357.652698   125.955335
357.662698   124.252453
357.672698   121.870320
357.682698   118.006220
357.692698   115.713981
357.702698   111.802622
357.712698   105.399153
357.722698   99.350551
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
