Time_s   F0_Hz
--undefined--   --undefined--
41.521406   167.551395
41.531406   168.559254
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
41.601406   99.130837
41.611406   98.298798
41.621406   95.196763
41.631406   93.128460
41.641406   89.630239
41.651406   81.592981
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
41.791406   127.141444
41.801406   110.658132
41.811406   109.691478
41.821406   108.060979
41.831406   107.979759
41.841406   108.871987
41.851406   109.720879
41.861406   111.461567
41.871406   113.410615
41.881406   115.714442
41.891406   118.302633
41.901406   120.117808
41.911406   121.400369
41.921406   121.993290
41.931406   120.977138
41.941406   120.411559
41.951406   119.903736
41.961406   118.981171
41.971406   117.903865
41.981406   116.660965
41.991406   114.678677
42.001406   109.630431
42.011406   102.988876
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
42.131406   130.843198
42.141406   102.269864
42.151406   99.195027
42.161406   97.102096
42.171406   95.716000
42.181406   94.579115
42.191406   94.122079
42.201406   92.724627
42.211406   93.014823
42.221406   93.969079
42.231406   94.757475
42.241406   94.205388
42.251406   92.618428
42.261406   93.057538
42.271406   92.188370
42.281406   91.463979
42.291406   91.696689
42.301406   91.930176
42.311406   91.747242
42.321406   91.211980
42.331406   90.732723
42.341406   90.273044
42.351406   89.535433
42.361406   89.155128
42.371406   88.696977
42.381406   87.285213
42.391406   84.354813
42.401406   83.669933
42.411406   81.629267
42.421406   83.638444
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
42.491406   96.143525
42.501406   94.161975
42.511406   91.370212
42.521406   90.018945
42.531406   89.962021
42.541406   89.941354
42.551406   90.794728
42.561406   90.663694
42.571406   90.704403
42.581406   90.309624
42.591406   89.714855
42.601406   89.221891
42.611406   88.994240
42.621406   89.226593
42.631406   89.530404
42.641406   88.755964
42.651406   88.548285
42.661406   86.835908
42.671406   86.358188
42.681406   85.311190
42.691406   85.023310
42.701406   85.207595
42.711406   85.999941
42.721406   87.765340
42.731406   86.145456
42.741406   86.541888
42.751406   87.351630
42.761406   87.907965
42.771406   89.778934
42.781406   91.994307
42.791406   92.393734
42.801406   96.600453
42.811406   100.912973
42.821406   100.780040
42.831406   103.071323
42.841406   105.238532
42.851406   107.085079
42.861406   109.307518
42.871406   112.247431
42.881406   114.577934
42.891406   116.379204
42.901406   117.593224
42.911406   118.024248
42.921406   117.743533
42.931406   117.113708
42.941406   116.503328
42.951406   116.218374
42.961406   115.761481
42.971406   115.107489
42.981406   114.859876
42.991406   114.639032
43.001406   113.155906
43.011406   110.864356
43.021406   110.067724
43.031406   109.197134
43.041406   109.069451
43.051406   108.153460
43.061406   106.456621
43.071406   104.716431
43.081406   102.756205
43.091406   102.210427
43.101406   102.206125
43.111406   101.746917
43.121406   101.688855
43.131406   102.188410
43.141406   102.567446
43.151406   102.872365
43.161406   102.776675
43.171406   101.803488
43.181406   101.244518
43.191406   100.607734
43.201406   99.846233
43.211406   99.001108
43.221406   97.497453
43.231406   96.281450
43.241406   96.830794
43.251406   98.015889
43.261406   98.463910
43.271406   98.505176
43.281406   98.109797
43.291406   95.914645
43.301406   92.312975
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
