Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
25.000000   120.584098
25.010000   114.555409
25.020000   112.242729
25.030000   110.445071
25.040000   110.807730
25.050000   108.919928
25.060000   107.558814
25.070000   109.910368
25.080000   111.784492
25.090000   115.769077
25.100000   120.799395
25.110000   128.634311
25.120000   133.372992
25.130000   135.345532
25.140000   138.490975
25.150000   140.235384
25.160000   141.555806
25.170000   142.262091
25.180000   142.594070
25.190000   142.416767
25.200000   142.621855
25.210000   143.177823
25.220000   143.722214
25.230000   144.032413
25.240000   144.238358
25.250000   144.288019
25.260000   144.763041
25.270000   145.363441
25.280000   145.573817
25.290000   144.433421
25.300000   141.353199
25.310000   137.585987
25.320000   137.456175
25.330000   138.501919
25.340000   140.817371
25.350000   141.160721
25.360000   139.663645
25.370000   139.338983
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
25.540000   128.944294
25.550000   124.317983
25.560000   121.010354
25.570000   117.696088
25.580000   114.206340
25.590000   109.105670
25.600000   113.762318
25.610000   116.702838
25.620000   112.837212
25.630000   107.479913
25.640000   110.020479
25.650000   109.069388
25.660000   107.744965
25.670000   109.501430
25.680000   120.321626
25.690000   125.622131
25.700000   127.392859
25.710000   132.770359
25.720000   135.228557
25.730000   138.640997
25.740000   140.328590
25.750000   141.972967
25.760000   142.966909
25.770000   154.726170
25.780000   157.684625
25.790000   160.535750
25.800000   168.539440
25.810000   168.666352
25.820000   167.242470
25.830000   169.384148
25.840000   171.868046
25.850000   174.006945
25.860000   172.154255
25.870000   169.623995
25.880000   165.818273
25.890000   161.679280
25.900000   157.214629
25.910000   148.845177
25.920000   142.057923
25.930000   135.309356
25.940000   132.918790
25.950000   138.319052
25.960000   140.034753
25.970000   137.983813
25.980000   133.485115
25.990000   139.113344
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
26.100000   113.589760
26.110000   112.346783
26.120000   106.521293
26.130000   100.160935
26.140000   100.193173
26.150000   102.058040
26.160000   98.739311
26.170000   97.320043
26.180000   101.079089
26.190000   100.983683
26.200000   100.452570
26.210000   103.352136
26.220000   106.140313
26.230000   109.875488
26.240000   117.188176
26.250000   120.937717
26.260000   126.300207
26.270000   129.269814
26.280000   132.589040
26.290000   137.281731
26.300000   139.229561
26.310000   140.588248
26.320000   143.132600
26.330000   147.914789
26.340000   149.750799
26.350000   150.837547
26.360000   150.494306
26.370000   150.340608
26.380000   149.334350
26.390000   146.747551
26.400000   145.012874
26.410000   143.372816
26.420000   138.372034
26.430000   137.159311
26.440000   139.048644
26.450000   137.468182
26.460000   134.273645
26.470000   131.613279
26.480000   132.108366
26.490000   134.111781
26.500000   138.808916
26.510000   131.881420
26.520000   129.379918
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
26.610000   110.655617
26.620000   109.754926
26.630000   109.918236
26.640000   108.871847
26.650000   107.611566
26.660000   107.831776
26.670000   107.469790
26.680000   102.969398
26.690000   100.926601
26.700000   105.116207
26.710000   102.568959
26.720000   104.847295
26.730000   107.842311
26.740000   108.448587
26.750000   108.115721
26.760000   107.789122
26.770000   107.335656
26.780000   107.789576
26.790000   108.084926
26.800000   108.442014
26.810000   108.558453
26.820000   108.381098
26.830000   108.864615
26.840000   109.277314
26.850000   109.175292
26.860000   109.340073
26.870000   109.664194
26.880000   108.422610
26.890000   108.246265
26.900000   108.406375
26.910000   108.952914
26.920000   109.692803
26.930000   110.031239
26.940000   110.921077
26.950000   111.772071
26.960000   111.323645
26.970000   111.116305
26.980000   110.451280
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
