Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
304.910045   163.198425
304.920045   149.846396
304.930045   144.812095
304.940045   147.666079
304.950045   81.290073
304.960045   79.974138
304.970045   80.573836
304.980045   82.508411
304.990045   82.299831
305.000045   149.067570
305.010045   148.084556
305.020045   146.788761
305.030045   138.178859
305.040045   131.056236
305.050045   122.789296
305.060045   118.546475
305.070045   118.555812
305.080045   108.053480
305.090045   107.512697
305.100045   105.784583
305.110045   105.363648
305.120045   104.989552
305.130045   105.729974
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
305.220045   189.403362
305.230045   188.707141
305.240045   179.230752
305.250045   174.165341
305.260045   149.096098
305.270045   141.565438
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
305.410045   153.093026
305.420045   150.336540
305.430045   149.065902
305.440045   146.898656
305.450045   143.733543
305.460045   139.624125
305.470045   137.244992
305.480045   134.854755
305.490045   131.626788
305.500045   126.535451
305.510045   126.244008
305.520045   125.014062
305.530045   122.968262
305.540045   122.260813
305.550045   123.201190
305.560045   124.938287
305.570045   125.104437
305.580045   124.485166
305.590045   123.705542
305.600045   121.552676
305.610045   119.993346
305.620045   118.706721
305.630045   117.469773
305.640045   116.552259
305.650045   114.940937
305.660045   112.970184
305.670045   111.529273
305.680045   113.521242
305.690045   115.536366
305.700045   112.204388
305.710045   97.629032
305.720045   106.576304
305.730045   106.734549
305.740045   108.919707
305.750045   112.269673
305.760045   115.765093
