Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
167.391995   132.488298
167.401995   127.025115
167.411995   123.310122
167.421995   122.882534
167.431995   122.822602
167.441995   123.110720
167.451995   123.349604
167.461995   123.811433
167.471995   123.717885
167.481995   123.182007
167.491995   122.483613
167.501995   122.285117
167.511995   121.911053
167.521995   121.220382
167.531995   120.330541
167.541995   119.027138
167.551995   118.263260
167.561995   114.890772
167.571995   119.042806
167.581995   118.841863
167.591995   117.906361
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
167.711995   173.955625
167.721995   165.110679
167.731995   168.648513
167.741995   176.977938
167.751995   182.588670
167.761995   188.991012
167.771995   193.601008
167.781995   198.925136
167.791995   201.857657
167.801995   207.097546
167.811995   209.358034
167.821995   211.085404
167.831995   210.891670
167.841995   209.208750
167.851995   207.994165
167.861995   206.939918
167.871995   204.675858
167.881995   202.257178
167.891995   200.052163
167.901995   194.711506
167.911995   189.313793
167.921995   182.796325
167.931995   176.127653
167.941995   167.250070
167.951995   159.670018
167.961995   153.788515
167.971995   145.962613
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
168.061995   179.594213
168.071995   164.890393
168.081995   161.279345
168.091995   158.663654
168.101995   156.776955
168.111995   156.784853
168.121995   156.636691
168.131995   154.506577
168.141995   152.218428
168.151995   155.295326
168.161995   156.128339
168.171995   154.507527
168.181995   154.162461
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
168.231995   150.440743
168.241995   151.168051
168.251995   151.948023
168.261995   152.434986
168.271995   153.050095
168.281995   152.659631
168.291995   151.925304
168.301995   151.202368
168.311995   149.967112
168.321995   149.172982
168.331995   149.827484
168.341995   150.124247
168.351995   150.385227
168.361995   150.017047
168.371995   149.618417
168.381995   149.110087
168.391995   148.149773
168.401995   147.686194
168.411995   147.082052
168.421995   145.146707
168.431995   142.758866
168.441995   140.392510
168.451995   139.843172
168.461995   139.072114
168.471995   137.064442
168.481995   135.049477
168.491995   135.420661
168.501995   146.086435
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
