Time_s   F0_Hz
0.024218   219.145874
0.034218   214.978274
0.044218   209.719202
0.054218   207.475079
0.064218   205.072642
0.074218   203.160133
0.084218   199.921612
0.094218   198.852135
0.104218   194.309417
0.114218   192.254058
0.124218   191.615771
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.214218   235.494465
0.224218   225.203166
0.234218   215.182199
0.244218   209.834207
0.254218   209.980387
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.324218   211.636472
0.334218   212.014570
0.344218   205.228917
0.354218   197.274767
0.364218   197.155102
0.374218   201.033504
0.384218   206.990926
0.394218   206.799511
0.404218   204.604586
0.414218   199.823403
0.424218   192.410437
0.434218   190.209110
0.444218   189.416811
0.454218   192.002508
0.464218   196.515087
0.474218   199.222689
0.484218   201.044823
0.494218   194.411221
0.504218   188.138940
--undefined--   --undefined--
--undefined--   --undefined--
0.534218   195.901617
0.544218   196.779351
0.554218   198.684358
0.564218   202.413811
0.574218   203.914533
0.584218   204.838172
0.594218   206.751006
0.604218   208.517934
0.614218   209.675005
0.624218   209.623946
0.634218   207.299352
0.644218   204.132499
0.654218   200.966931
0.664218   200.939018
0.674218   202.143188
0.684218   201.722890
0.694218   200.216515
0.704218   198.633856
0.714218   196.813523
0.724218   195.664154
0.734218   194.742565
0.744218   195.350994
0.754218   196.759188
0.764218   196.440441
0.774218   195.443640
0.784218   193.822837
0.794218   191.328791
0.804218   187.276358
0.814218   182.300449
0.824218   178.556778
0.834218   176.294571
0.844218   175.259282
0.854218   175.750009
0.864218   175.940898
0.874218   179.419481
0.884218   188.249981
0.894218   197.150038
0.904218   204.398417
0.914218   207.539246
0.924218   207.897158
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.004218   223.412522
1.014218   213.765700
1.024218   212.907449
1.034218   213.074846
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.194218   229.344587
1.204218   204.218492
1.214218   204.385339
1.224218   207.014438
1.234218   209.236153
1.244218   208.366406
1.254218   205.753615
1.264218   203.691564
1.274218   200.323933
1.284218   195.097510
1.294218   191.202050
1.304218   188.207035
1.314218   189.277393
1.324218   189.801531
1.334218   188.735485
1.344218   187.556688
1.354218   185.719602
1.364218   187.804707
1.374218   193.090259
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.434218   102.851170
1.444218   101.016455
1.454218   106.235872
1.464218   112.019123
1.474218   114.636604
1.484218   118.333947
1.494218   244.716780
1.504218   250.030425
1.514218   256.004992
1.524218   261.211565
1.534218   263.817454
1.544218   265.998342
1.554218   266.414001
1.564218   264.720097
1.574218   261.816654
1.584218   256.872415
1.594218   252.682320
1.604218   247.497262
1.614218   240.998193
1.624218   235.975307
1.634218   229.073055
1.644218   223.861692
1.654218   221.001132
1.664218   215.978254
1.674218   210.497098
1.684218   206.503426
1.694218   202.886099
1.704218   199.777561
1.714218   195.471159
1.724218   190.829872
1.734218   188.009563
1.744218   187.166774
1.754218   186.006213
1.764218   185.462049
1.774218   184.547957
1.784218   184.693953
1.794218   184.542544
1.804218   183.255123
1.814218   182.116876
1.824218   182.532633
1.834218   184.987389
1.844218   187.977703
