Time_s   F0_Hz
0.022483   222.641834
0.032483   224.665136
0.042483   227.826585
0.052483   229.337185
0.062483   229.061591
0.072483   228.351331
0.082483   227.472995
0.092483   226.169357
0.102483   223.933516
0.112483   218.149653
0.122483   204.997776
0.132483   195.346538
0.142483   191.973869
0.152483   187.492392
0.162483   188.406550
0.172483   191.981002
0.182483   192.649909
0.192483   190.980128
0.202483   190.199355
0.212483   193.642673
0.222483   193.029973
0.232483   192.113479
0.242483   192.549971
0.252483   196.096515
0.262483   197.141798
0.272483   197.307252
0.282483   195.750565
0.292483   195.681414
0.302483   196.339715
0.312483   196.259785
0.322483   195.348824
0.332483   193.753388
0.342483   195.329267
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.502483   208.409368
0.512483   205.334700
0.522483   203.657667
0.532483   204.406325
0.542483   205.297610
0.552483   202.502165
0.562483   201.391369
0.572483   197.615830
0.582483   197.965532
0.592483   200.630568
0.602483   197.335471
0.612483   187.028046
0.622483   187.368941
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.682483   190.374882
0.692483   193.067423
0.702483   193.630857
0.712483   191.292261
0.722483   188.233554
0.732483   186.271451
0.742483   180.293735
0.752483   179.685736
0.762483   176.676900
0.772483   170.904517
0.782483   170.778172
0.792483   174.598816
0.802483   175.917680
0.812483   180.633031
0.822483   191.659130
0.832483   195.291216
0.842483   210.183210
0.852483   226.869722
0.862483   240.548155
0.872483   258.146119
0.882483   285.315101
0.892483   368.815221
0.902483   421.400036
