Time_s   F0_Hz
0.020488   278.217493
0.030488   261.481121
0.040488   257.414000
0.050488   255.937003
0.060488   254.956132
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.140488   195.061852
0.150488   223.614389
0.160488   238.276570
0.170488   238.188001
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.240488   281.050901
0.250488   283.743461
0.260488   284.834001
0.270488   259.575850
0.280488   243.080881
0.290488   115.046493
0.300488   112.686504
--undefined--   --undefined--
0.320488   261.921260
0.330488   264.288670
0.340488   263.712445
0.350488   262.845435
0.360488   263.957346
0.370488   268.261914
0.380488   263.981175
0.390488   258.252189
0.400488   260.498601
0.410488   259.809821
0.420488   259.567269
0.430488   232.662528
0.440488   234.457089
0.450488   234.934744
0.460488   241.632812
0.470488   245.619800
0.480488   254.352866
0.490488   261.329329
0.500488   264.547633
0.510488   265.379118
0.520488   263.328271
0.530488   247.732830
0.540488   237.926060
0.550488   263.118351
0.560488   263.481408
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.630488   279.293901
0.640488   280.595681
0.650488   276.916279
0.660488   266.864368
0.670488   259.522939
0.680488   260.263987
0.690488   262.639709
0.700488   264.340314
0.710488   265.828360
0.720488   267.073095
0.730488   262.954969
0.740488   260.902957
0.750488   258.072871
0.760488   257.861503
0.770488   258.849023
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.810488   257.737220
0.820488   271.354690
0.830488   278.303667
0.840488   285.957579
0.850488   293.061346
0.860488   287.915251
0.870488   274.414101
0.880488   283.621555
0.890488   290.393373
0.900488   288.721874
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.970488   302.480979
0.980488   295.217823
0.990488   284.382952
1.000488   257.000032
1.010488   244.750955
1.020488   241.226095
1.030488   231.590595
1.040488   231.362717
1.050488   233.912589
1.060488   257.232439
1.070488   286.346241
1.080488   296.006898
1.090488   297.806729
1.100488   294.023701
1.110488   249.107236
1.120488   267.049703
1.130488   295.905123
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.190488   296.547326
1.200488   294.381302
1.210488   291.488762
1.220488   287.313581
1.230488   284.414721
1.240488   289.640117
1.250488   290.625418
1.260488   291.315856
1.270488   289.663611
1.280488   294.425872
1.290488   259.875242
1.300488   259.126309
1.310488   259.642453
1.320488   262.921424
1.330488   268.108263
1.340488   263.461031
1.350488   261.155069
1.360488   271.445586
1.370488   283.237694
1.380488   285.991024
1.390488   284.607167
1.400488   284.434909
1.410488   282.865583
1.420488   278.086012
1.430488   270.058252
1.440488   253.548442
1.450488   240.534306
1.460488   239.600110
1.470488   243.233375
1.480488   252.084883
1.490488   250.673318
1.500488   245.503979
1.510488   244.223043
1.520488   244.106511
1.530488   246.539115
1.540488   272.531696
1.550488   277.476181
1.560488   273.972499
1.570488   264.934696
1.580488   253.328495
1.590488   259.753078
1.600488   260.646155
1.610488   263.109744
1.620488   254.846388
1.630488   264.819291
1.640488   266.612721
1.650488   268.726040
1.660488   265.300143
1.670488   263.082707
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.770488   305.998019
1.780488   307.464294
1.790488   311.415997
1.800488   328.719170
1.810488   347.241152
1.820488   364.172066
1.830488   423.031541
1.840488   434.334757
1.850488   451.523874
1.860488   462.362074
1.870488   478.660952
1.880488   491.048344
1.890488   492.973562
1.900488   478.842668
1.910488   489.363566
1.920488   255.859375
1.930488   253.339456
1.940488   483.842602
1.950488   458.342226
1.960488   436.244151
1.970488   418.623292
1.980488   401.608054
1.990488   376.605739
2.000488   357.568455
2.010488   342.499744
2.020488   324.305636
2.030488   316.348441
2.040488   299.235406
2.050488   286.680847
2.060488   262.122934
2.070488   254.931941
2.080488   249.450727
2.090488   242.270501
2.100488   235.024950
2.110488   229.080390
2.120488   226.130617
2.130488   229.601267
2.140488   236.334136
2.150488   233.361048
2.160488   229.656832
2.170488   228.524262
2.180488   229.322213
2.190488   230.830516
2.200488   231.538047
