Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
809.040862   201.655200
809.050862   204.186334
809.060862   202.178499
809.070862   199.822496
809.080862   197.426982
809.090862   194.435324
809.100862   190.976856
809.110862   189.904422
809.120862   190.365202
809.130862   181.274856
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
809.240862   214.449116
809.250862   212.232607
809.260862   211.014106
809.270862   211.007186
809.280862   210.601908
809.290862   210.140559
809.300862   211.788356
809.310862   212.971289
809.320862   213.359383
809.330862   214.546744
809.340862   214.928336
809.350862   215.025999
809.360862   213.267458
809.370862   211.520134
809.380862   211.011598
809.390862   210.123537
809.400862   208.235737
809.410862   204.653498
809.420862   196.223973
809.430862   177.687814
809.440862   175.982405
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
809.530862   205.458291
809.540862   199.574071
809.550862   196.532008
809.560862   194.882192
809.570862   193.026231
809.580862   192.395888
809.590862   186.825010
809.600862   177.263727
809.610862   185.601779
809.620862   187.578357
809.630862   186.477855
809.640862   183.262613
809.650862   183.173171
809.660862   182.962492
809.670862   176.191075
809.680862   174.577937
809.690862   166.183598
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
809.800862   206.205654
809.810862   197.652905
809.820862   194.849391
809.830862   192.924959
809.840862   191.245651
809.850862   190.659880
809.860862   189.052159
809.870862   186.276775
809.880862   184.761981
809.890862   185.149610
809.900862   183.889013
809.910862   165.984178
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
809.980862   191.390968
